genome	gtdb_species	gtdb_genus	study_id	ecosystem_compartment	is_mag	n_phaC_matrix	n_targets_corrected	pct_triad_complete	pct_full_length	median_protein_length_aa	n_distinct_cluster07	n_clusters_known_of	pct_distinct_clusters	n_scaffolds_known	n_targets_scaffold_known_of	checkm_completeness	checkm_contamination	legitimacy_call
ATLA15-1_SAMN03981677-S001_MAG_00000045	Unknown JAHIVH01	Unknown JAHIVH01	ATLA15-1	Marine sediment	True	6	6	0.833	0.667	613	6	6	1.000	2	2	90.75	1.94	likely_legit
BPAM22-1_SAMN07482816_MAG_00000014	Unknown JABMNR01	JABMNR01	BPAM22-1	Seawater	True	6	6	0.667	0.333	449	6	6	1.000	1	2	91.72	1.09	likely_legit
CAOS20-1_SAMN13674977-S001_MAG_00000072	Unknown Sphingobium	Sphingobium	CAOS20-1	Seawater	True	6	6	0.833	0.667	584	6	6	1.000	6	6	98.54	7.04	likely_legit
CAOS20-1_SAMN13674977-S003_MAG_00000025	Unknown EhC02	EhC02	CAOS20-1	Seawater	True	6	6	1.000	1.000	612	6	6	1.000	4	4	55.83	0.0	likely_legit
CAOS20-1_SAMN13674978-S011_MAG_00000173	Novosphingobium indicum	Novosphingobium	CAOS20-1	Seawater	True	6	6	0.333	0.167	412	6	6	1.000	4	4	72.54	0.42	uncertain
CAOS20-1_SAMN13674978-S013_MAG_00000007	Unknown CANJQJ01	CANJQJ01	CAOS20-1	Seawater	True	6	6	0.667	0.167	406	5	6	0.833	1	2	89.61	4.56	likely_legit
CHAS20-1_SAMN14350117_MAG_00000050	JASJBI01 sp030066595	JASJBI01	CHAS20-1	Marine sediment	True	6	6	1.000	0.667	610	6	6	1.000	6	6	97.41	8.72	likely_legit
CHAS20-1_SAMN14350117_MAG_00000051	Unknown CALKHQ01	Unknown CALKHQ01	CHAS20-1	Marine sediment	True	6	6	0.500	0.333	495	6	6	1.000	6	6	73.13	1.12	uncertain
DONG22-1_SAMN19687753_MAG_00000017	Unknown HK1	Unknown HK1	DONG22-1	Marine sediment	True	6	6	0.833	0.667	600	6	6	1.000	5	6	88.73	0.0	likely_legit
KELL22-1_SAMN22237333_MAG_00000019	Unknown JASJEC01	JASJEC01	KELL22-1	Marine sponge tissue	True	6	6	0.667	0.500	528	5	6	0.833	5	6	78.87	1.41	likely_legit
LUOR22-1_SAMEA13410271_MAG_00000023	Unknown Reyranella	Reyranella	LUOR22-1	Seawater	True	6	6	0.667	0.500	605	6	6	1.000	6	6	90.38	1.09	likely_legit
RSGB23-1_GCA-013519935-V1_GENO_10000001	WFHF3C12 sp013519935	WFHF3C12	RSGB23-1	NA	False	6	6	0.833	0.333	446	6	6	1.000	5	6	100.0	0.0	likely_legit
RSGB23-1_GCF-000404245-V1_GENO_10000001	Legionella pneumophila	Legionella	RSGB23-1	NA	False	6	6	1.000	1.000	596	5	6	0.833	1	6	100.0	0.19	likely_legit
RSGB23-1_GCF-000455845-V1_GENO_10000001	Legionella pneumophila	Legionella	RSGB23-1	NA	False	6	6	0.833	1.000	596	5	6	0.833	5	6	99.62	0.19	likely_legit
RSGB23-1_GCF-000694995-V1_GENO_10000001	Legionella pneumophila	Legionella	RSGB23-1	NA	False	6	6	0.833	1.000	596	5	6	0.833	0	0	100.0	0.19	likely_legit
RSGB23-1_GCF-000702385-V1_GENO_10000001	Xanthobacter aminoxidans	Xanthobacter	RSGB23-1	NA	False	6	6	0.500	0.667	652	6	6	1.000	1	6	100.0	0.0	uncertain
RSGB23-1_GCF-000734975-V2_GENO_10000001	Vreelandella glaciei	Vreelandella	RSGB23-1	NA	False	6	6	1.000	1.000	636	6	6	1.000	2	6	100.0	0.84	likely_legit
RSGB23-1_GCF-000763905-V1_GENO_10000001	Paracoccus halophilus	Paracoccus	RSGB23-1	NA	False	6	6	0.667	0.833	725	6	6	1.000	5	6	100.0	0.0	likely_legit
RSGB23-1_GCF-000812465-V1_GENO_10000001	Cupriavidus sp000812465	Cupriavidus	RSGB23-1	NA	False	6	6	0.833	0.833	597	6	6	1.000	5	6	99.48	1.49	likely_legit
RSGB23-1_GCF-000953915-V1_GENO_10000001	Legionella pneumophila	Legionella	RSGB23-1	NA	False	6	6	0.833	1.000	596	5	6	0.833	0	0	100.0	0.19	likely_legit
RSGB23-1_GCF-000953935-V1_GENO_10000001	Legionella pneumophila	Legionella	RSGB23-1	NA	False	5	6	0.833	0.667	596	4	6	0.667	3	3	100.0	0.0	likely_legit
RSGB23-1_GCF-002105285-V1_GENO_10000001	Planktotalea arctica	Planktotalea	RSGB23-1	NA	False	6	6	0.667	0.333	434	5	6	0.833	4	6	99.57	0.16	likely_legit
RSGB23-1_GCF-002355855-V1_GENO_10000001	Sphingobium cloacae	Sphingobium	RSGB23-1	NA	False	6	6	1.000	0.833	585	4	6	0.667	1	5	99.66	1.87	likely_legit
RSGB23-1_GCF-002741725-V1_GENO_10000001	Rhodococcus ruber	Rhodococcus	RSGB23-1	NA	False	6	6	0.667	0.500	561	6	6	1.000	1	6	99.37	0.75	likely_legit
RSGB23-1_GCF-003149435-V1_GENO_10000001	Sediminicurvatus halobius	Sediminicurvatus	RSGB23-1	NA	False	6	6	0.833	0.500	584	6	6	1.000	5	6	98.59	1.41	likely_legit
RSGB23-1_GCF-003205035-V1_GENO_10000001	Legionella pneumophila	Legionella	RSGB23-1	NA	False	6	6	0.833	1.000	598	5	6	0.833	5	6	100.0	0.38	likely_legit
RSGB23-1_GCF-003205045-V1_GENO_10000001	Legionella pneumophila	Legionella	RSGB23-1	NA	False	6	6	0.833	1.000	598	5	6	0.833	0	0	100.0	0.32	likely_legit
RSGB23-1_GCF-003205055-V1_GENO_10000001	Legionella pneumophila	Legionella	RSGB23-1	NA	False	6	6	1.000	1.000	596	5	6	0.833	1	1	100.0	0.19	likely_legit
RSGB23-1_GCF-003205065-V1_GENO_10000001	Legionella pneumophila	Legionella	RSGB23-1	NA	False	6	6	1.000	1.000	596	5	6	0.833	0	0	100.0	0.19	likely_legit
RSGB23-1_GCF-003205115-V1_GENO_10000001	Legionella pneumophila	Legionella	RSGB23-1	NA	False	6	6	0.833	1.000	598	5	6	0.833	0	0	100.0	0.19	likely_legit
RSGB23-1_GCF-003205135-V1_GENO_10000001	Legionella pneumophila	Legionella	RSGB23-1	NA	False	6	6	0.833	1.000	596	5	6	0.833	0	0	100.0	0.19	likely_legit
RSGB23-1_GCF-003205155-V1_GENO_10000001	Legionella pneumophila	Legionella	RSGB23-1	NA	False	4	6	0.833	1.000	596	5	6	0.833	0	0	100.0	0.19	likely_legit
RSGB23-1_GCF-003205175-V1_GENO_10000001	Legionella pneumophila	Legionella	RSGB23-1	NA	False	6	6	1.000	1.000	596	5	6	0.833	0	0	100.0	0.19	likely_legit
RSGB23-1_GCF-003399765-V1_GENO_10000001	AK92 sp003399765	AK92	RSGB23-1	NA	False	6	6	0.333	0.167	350	6	6	1.000	1	2	94.37	1.41	uncertain
RSGB23-1_GCF-003697265-V1_GENO_10000001	Sphingobium yanoikuyae	Sphingobium	RSGB23-1	NA	False	6	6	0.667	0.667	584	5	6	0.833	2	6	100.0	0.0	likely_legit
RSGB23-1_GCF-003844175-V1_GENO_10000001	Rhodococcus ruber	Rhodococcus	RSGB23-1	NA	False	6	6	0.333	0.333	434	5	6	0.833	4	5	98.99	0.63	uncertain
RSGB23-1_GCF-004137185-V1_GENO_10000001	Legionella pneumophila	Legionella	RSGB23-1	NA	False	6	6	1.000	1.000	596	5	6	0.833	0	0	100.0	0.19	likely_legit
RSGB23-1_GCF-004168975-V1_GENO_10000001	Legionella fraseri	Legionella	RSGB23-1	NA	False	6	6	0.667	0.833	596	6	6	1.000	1	1	100.0	0.19	likely_legit
RSGB23-1_GCF-004920575-V1_GENO_10000001	Legionella pneumophila	Legionella	RSGB23-1	NA	False	6	6	0.833	1.000	598	5	6	0.833	0	0	100.0	0.19	likely_legit
RSGB23-1_GCF-004920585-V1_GENO_10000001	Legionella pneumophila	Legionella	RSGB23-1	NA	False	6	6	0.833	1.000	598	5	6	0.833	0	0	100.0	0.57	likely_legit
RSGB23-1_GCF-004920665-V1_GENO_10000001	Legionella pneumophila	Legionella	RSGB23-1	NA	False	4	6	0.667	0.833	596	5	6	0.833	4	4	95.44	3.18	likely_legit
RSGB23-1_GCF-005780185-V1_GENO_10000001	Halomonas urmiana	Halomonas	RSGB23-1	NA	False	6	6	1.000	1.000	610	6	6	1.000	5	6	100.0	1.43	likely_legit
RSGB23-1_GCF-006363875-V1_GENO_10000001	Sphingobium fuliginis	Sphingobium	RSGB23-1	NA	False	6	6	0.500	0.167	362	5	6	0.833	1	6	100.0	0.0	uncertain
RSGB23-1_GCF-010993675-V1_GENO_10000001	Modicisalibacter tunisiensis	Modicisalibacter	RSGB23-1	NA	False	6	6	1.000	0.833	619	6	6	1.000	5	6	100.0	0.0	likely_legit
RSGB23-1_GCF-011683955-V1_GENO_10000001	Pseudomaricurvus alkylphenolicus	Pseudomaricurvus	RSGB23-1	NA	False	6	6	0.833	0.667	588	6	6	1.000	4	6	100.0	0.0	likely_legit
RSGB23-1_GCF-017894365-V1_GENO_10000001	Aromatoleum bremense	Aromatoleum	RSGB23-1	NA	False	6	6	0.833	0.833	594	6	6	1.000	1	6	99.59	0.41	likely_legit
RSGB23-1_GCF-018531475-V1_GENO_10000001	Pseudonocardia sp018531475	Pseudonocardia	RSGB23-1	NA	False	6	6	0.667	0.500	573	6	6	1.000	5	6	99.53	2.84	likely_legit
SANC23-1_SAMEA110646511_MAG_00000079	Antarctobacter sp019392335	Antarctobacter	SANC23-1	Seawater	True	3	6	0.667	0.667	570	6	6	1.000	0	0	99.4	0.5	likely_legit
SANC23-1_SAMEA110646518_MAG_00000050	Antarctobacter sp019392335	Antarctobacter	SANC23-1	Seawater	True	3	6	0.500	0.500	568	6	6	1.000	2	2	54.72	0.59	uncertain
SANC23-1_SAMEA110646520_MAG_00000010	Antarctobacter sp019392335	Antarctobacter	SANC23-1	Seawater	True	3	6	0.500	0.667	570	6	6	1.000	3	3	95.92	2.6	uncertain
SHAF22-1_SAMEA7723957_MAG_00000002	Hyphomonas sp000682775	Hyphomonas	SHAF22-1	Marine sediment	True	3	6	1.000	0.833	607	6	6	1.000	2	3	100.0	0.0	likely_legit
TAOJ22-1_SAMN27365860_MAG_00000012	Unknown Sulfitobacter	Sulfitobacter	TAOJ22-1	Seawater	True	6	6	1.000	1.000	602	6	6	1.000	6	6	97.25	9.55	likely_legit
TARA_SAMEA2621854_MAG_00000048	Tistrella mobilis	Tistrella	TOPC	Seawater	True	5	6	0.833	0.833	601	5	6	0.833	1	2	90.26	1.16	likely_legit
TARA_SAMEA2621872_MAG_00000013	Tistrella mobilis	Tistrella	TOPC	Seawater	True	4	6	0.833	0.833	596	4	6	0.667	0	0	96.01	0.75	likely_legit
TARA_SAMEA2622086_MAG_00000026	Tistrella mobilis	Tistrella	TOPC	Seawater	True	4	6	0.833	0.667	595	4	6	0.667	1	1	85.14	0.5	likely_legit
TARA_SAMEA2622331_MAG_00000019	Novosphingobium indicum	Novosphingobium	TOPC	Seawater	True	6	6	0.500	0.333	483	6	6	1.000	4	4	76.6	0.46	uncertain
TARA_SAMEA2623403_MAG_00000011	Novosphingobium indicum	Novosphingobium	TOPC	Seawater	True	4	6	0.667	0.500	586	6	6	1.000	4	4	67.5	1.55	likely_legit
TARA_SAMEA4397215_MAG_00000062	CAXBJY01 sp963976285	CAXBJY01	TOPC	Seawater	True	6	6	0.667	0.333	360	5	6	0.833	3	4	77.85	4.3	likely_legit
TARA_SAMEA4397815_MAG_00000046	UBA1479 sp963976055	UBA1479	TOPC	Seawater	True	5	6	0.833	0.500	588	6	6	1.000	1	1	99.5	0.0	likely_legit
TARA_SAMEA4397948_MAG_00000040	UBA1479 sp963976055	UBA1479	TOPC	Seawater	True	5	6	0.833	0.500	588	6	6	1.000	0	0	100.0	0.0	likely_legit
TARA_SAMEA4398238_MAG_00000024	Novosphingobium indicum	Novosphingobium	TOPC	Seawater	True	4	6	0.500	0.500	586	6	6	1.000	1	1	96.34	0.17	uncertain
TARA_SAMEA4398238_MAG_00000113	Unknown GCA-2731375	Unknown GCA-2731375	TOPC	Seawater	True	6	6	0.833	0.833	587	6	6	1.000	5	6	92.96	0.0	likely_legit
TARA_SAMEA5999008_MAG_00000158	Unknown Piscinibacter	Piscinibacter	TPAC	Seawater	True	6	6	0.500	0.333	406	5	6	0.833	6	6	94.66	5.93	uncertain
TARA_SAMEA6004500_MAG_00000210	Marinobacter manganoxydans	Marinobacter	TPAC	Seawater	True	3	6	0.333	0.333	456	6	6	1.000	2	2	91.71	1.17	uncertain
TARA_SAMEA6006780_MAG_00000143	Marinobacter manganoxydans	Marinobacter	TPAC	Seawater	True	3	6	0.167	0.167	406	5	6	0.833	2	2	81.58	4.25	likely_artifact
WIND23-1_Gp0561256-S001_MAG_00000086	Sulfitobacter sp026421135	Sulfitobacter	WIND23-1	Sea ice	True	6	6	0.667	0.833	612	6	6	1.000	5	6	59.95	0.0	likely_legit
WIND23-1_Gp0561258-S001_MAG_00000032	Sulfitobacter sp013139555	Sulfitobacter	WIND23-1	Sea ice	True	6	6	1.000	0.833	602	6	6	1.000	3	3	99.36	0.9	likely_legit
WIND23-1_Gp0561260-S001_MAG_00000069	Sulfitobacter sp013139555	Sulfitobacter	WIND23-1	Sea ice	True	6	6	1.000	0.833	602	6	6	1.000	0	0	98.4	8.35	likely_legit
ZHEN22-1_SAMN12826202_MAG_00000306	Unknown JAPULJ01	JAPULJ01	ZHEN22-1	Marine sediment	True	6	6	0.667	0.333	411	6	6	1.000	6	6	80.57	8.81	likely_legit
ACIN21-1_SAMN05422113_MAG_00000002	Antarctobacter sp019392335	Antarctobacter	ACIN21-1	Seawater	True	5	5	0.600	0.600	570	5	5	1.000	4	5	100.0	1.41	likely_legit
ATLA15-1_SAMN03981636-S001_MAG_00000170	Unknown CAIRSR01	Unknown CAIRSR01	ATLA15-1	Marine sediment	True	5	5	0.400	0.400	345	5	5	1.000	5	5	50.7	7.04	uncertain
ATLA15-1_SAMN03981667-S001_MAG_00000013	Unknown JAHIVH01	JAHIVH01	ATLA15-1	Marine sediment	True	5	5	0.600	0.600	579	5	5	1.000	5	5	59.82	0.0	likely_legit
ATLA15-1_SAMN03981669-S001_MAG_00000153	Hyphomonas sp000682735	Hyphomonas	ATLA15-1	Marine sediment	True	5	5	0.800	0.600	588	3	5	0.600	2	3	95.36	3.84	likely_legit
ATLA15-1_SAMN03981676-S001_MAG_00000050	Unknown JAHIVH01	Unknown JAHIVH01	ATLA15-1	Marine sediment	True	5	5	0.600	0.600	578	5	5	1.000	5	5	95.48	3.06	likely_legit
ATLA15-1_SAMN03981678-S001_MAG_00000050	Unknown JAABRB01	JAABRB01	ATLA15-1	Marine sediment	True	5	5	0.800	0.600	554	5	5	1.000	1	1	63.38	5.63	likely_legit
ATLA15-1_SAMN03981678-S001_MAG_00000110	Unknown JARRKU01	JARRKU01	ATLA15-1	Marine sediment	True	5	5	0.200	0.600	521	4	5	0.800	4	5	84.03	2.26	likely_artifact
BOEU19-1_SAMN09765684_MAG_00000020	Henriciella sp013213825	Henriciella	BOEU19-1	Marine sediment	True	5	5	1.000	0.200	410	5	5	1.000	5	5	86.61	2.46	likely_legit
BPAM22-1_SAMN07449441_MAG_00000122	Unknown JABMNR01	JABMNR01	BPAM22-1	Seawater	True	5	5	1.000	0.400	497	5	5	1.000	5	5	75.15	1.74	likely_legit
BPAM22-1_SAMN07482793_MAG_00000005	Sphingomonas paucimobilis	Sphingomonas	BPAM22-1	Seawater	True	5	5	0.400	0.200	349	4	5	0.800	4	5	99.15	3.28	uncertain
BPAM22-1_SAMN07482804_MAG_00000002	Unknown JABMNR01	JABMNR01	BPAM22-1	Seawater	True	5	5	1.000	0.600	602	5	5	1.000	3	3	100.0	0.0	likely_legit
BPAM22-1_SAMN07483222_MAG_00000032	Unknown Ferrovibrio	Ferrovibrio	BPAM22-1	Seawater	True	5	5	0.600	0.400	440	5	5	1.000	5	5	99.19	0.0	likely_legit
BPAM22-1_SAMN08953030_MAG_00000011	Bradyrhizobium sp001556045	Bradyrhizobium	BPAM22-1	Seawater	True	5	5	0.600	0.000	307	5	5	1.000	5	5	63.38	4.23	likely_legit
BRAZ22-1_SAMN16557391-S004_MAG_00000056	UBA7957 sp003511825	UBA7957	BRAZ22-1	Hydrothermal vent plume	True	5	5	1.000	0.600	581	5	5	1.000	4	5	98.59	0.0	likely_legit
BRYA16-1_SAMN04849236-S002_MAG_00000017	CAKZYD01 sp937884085	CAKZYD01	BRYA16-1	Seawater	True	5	5	0.200	0.200	416	5	5	1.000	4	5	85.5	1.28	likely_artifact
CAOS20-1_SAMN13674977-S010_MAG_00000027	Unknown JAWQFO01	JAWQFO01	CAOS20-1	Seawater	True	5	5	0.600	0.200	428	5	5	1.000	5	5	50.91	1.27	likely_legit
CAOS20-1_SAMN13674977-S010_MAG_00000048	Sulfitobacter sp026421135	Sulfitobacter	CAOS20-1	Seawater	True	5	5	0.400	0.400	428	5	5	1.000	4	5	90.81	1.32	uncertain
CAOS20-1_SAMN13674977-S020_MAG_00000060	Unknown Sphingobium	Sphingobium	CAOS20-1	Seawater	True	5	5	1.000	0.600	580	5	5	1.000	0	0	94.28	2.25	likely_legit
CAOS20-1_SAMN13674978-S005_MAG_00000083	Unknown Hyphococcus	Hyphococcus	CAOS20-1	Seawater	True	5	5	1.000	0.800	617	4	5	0.800	3	4	98.12	1.03	likely_legit
CAOS20-1_SAMN13674978-S005_MAG_00000124	Novosphingobium indicum	Novosphingobium	CAOS20-1	Seawater	True	5	5	0.600	0.400	483	5	5	1.000	4	5	99.44	1.99	likely_legit
CAOS20-1_SAMN13674978-S008_MAG_00000061	Novosphingobium indicum	Novosphingobium	CAOS20-1	Seawater	True	5	5	0.600	0.400	483	5	5	1.000	0	0	90.75	1.84	likely_legit
CAOS20-1_SAMN13674978-S008_MAG_00000082	Unknown Hyphococcus	Hyphococcus	CAOS20-1	Seawater	True	5	5	1.000	0.800	617	4	5	0.800	0	0	100.0	1.41	likely_legit
CAOS20-1_SAMN13674978-S011_MAG_00000090	Unknown Hyphococcus	Hyphococcus	CAOS20-1	Seawater	True	5	5	0.800	0.600	617	4	5	0.800	2	2	89.54	2.2	likely_legit
CAOS20-1_SAMN13674978-S011_MAG_00000111	Unknown CANJQJ01	CANJQJ01	CAOS20-1	Seawater	True	5	5	1.000	0.200	408	5	5	1.000	2	2	56.94	1.52	likely_legit
CAOS20-1_SAMN13674978-S012_MAG_00000015	Novosphingobium indicum	Novosphingobium	CAOS20-1	Seawater	True	5	5	0.600	0.400	483	5	5	1.000	0	0	95.99	1.69	likely_legit
CAOS20-1_SAMN13674978-S012_MAG_00000186	Unknown Hyphococcus	Hyphococcus	CAOS20-1	Seawater	True	5	5	1.000	0.800	617	4	5	0.800	0	0	95.64	1.53	likely_legit
CAOS20-1_SAMN13674978-S013_MAG_00000080	Unknown Hyphococcus	Hyphococcus	CAOS20-1	Seawater	True	4	5	1.000	0.800	617	4	5	0.800	0	0	95.51	0.83	likely_legit
CAOS20-1_SAMN13674978-S029_MAG_00000083	Unknown UBA1479	UBA1479	CAOS20-1	Seawater	True	5	5	0.800	0.600	588	5	5	1.000	4	5	91.55	1.41	likely_legit
CAOS20-1_SAMN13674978-S030_MAG_00000030	Unknown Rubrivivax	Rubrivivax	CAOS20-1	Seawater	True	5	5	0.600	0.800	588	5	5	1.000	1	1	99.38	1.17	likely_legit
CAOS20-1_SAMN13674978-S030_MAG_00000060	Unknown UBA1479	UBA1479	CAOS20-1	Seawater	True	5	5	0.800	0.800	604	5	5	1.000	4	5	100.0	0.0	likely_legit
CAOS20-1_SAMN13674978-S030_MAG_00000078	Unknown DAOMNN01	DAOMNN01	CAOS20-1	Seawater	True	5	5	0.800	1.000	586	5	5	1.000	5	5	97.51	1.04	likely_legit
CAOS20-1_SAMN13674978-S031_MAG_00000115	Unknown UBA1479	UBA1479	CAOS20-1	Seawater	True	5	5	0.800	0.800	604	5	5	1.000	1	1	95.77	0.0	likely_legit
CARD22-1_SAMN24292809_MAG_00000011	Unknown JAKSDN01	Unknown JAKSDN01	CARD22-1	Coral tissue	True	5	5	1.000	0.800	600	5	5	1.000	4	4	98.61	2.83	likely_legit
CARD22-1_SAMN24292821_MAG_00000019	Unknown JAKSDN01	Unknown JAKSDN01	CARD22-1	Coral tissue	True	5	5	1.000	0.600	599	5	5	1.000	5	5	97.41	1.52	likely_legit
CARD22-1_SAMN24292837_MAG_00000005	Unknown Desulfoluna	Desulfoluna	CARD22-1	Coral tissue	True	5	5	0.600	0.800	597	5	5	1.000	5	5	96.77	2.31	likely_legit
CHAS20-1_SAMN14350117_MAG_00000016	JAKSBE01 sp030066685	JAKSBE01	CHAS20-1	Marine sediment	True	5	5	0.800	0.600	635	5	5	1.000	5	5	96.52	4.16	likely_legit
DONG22-1_SAMN19687762_MAG_00000053	Unknown JAJFGK01	JAJFGK01	DONG22-1	Marine sediment	True	5	5	0.600	0.800	603	5	5	1.000	5	5	97.12	2.04	likely_legit
DUAR15-1_SAMN06266101_MAG_00000003	Marinobacter flavimaris	Marinobacter	DUAR15-1	Seawater	True	5	5	0.600	0.600	587	5	5	1.000	4	5	94.41	0.0	likely_legit
DUAR15-1_SAMN06266132_MAG_00000007	Marinobacter flavimaris	Marinobacter	DUAR15-1	Seawater	True	5	5	0.600	0.600	587	5	5	1.000	1	1	93.86	0.0	likely_legit
HARO16-1_SAMN03860272_MAG_00000016	Marinobacter salsuginis	Marinobacter	HARO16-1	Seawater	True	5	5	0.400	0.200	395	5	5	1.000	3	5	94.37	2.82	uncertain
KELL22-1_SAMN22237345_MAG_00000027	Unknown JASJEC01	JASJEC01	KELL22-1	Marine sponge tissue	True	5	5	0.600	0.600	603	5	5	1.000	5	5	85.92	5.63	likely_legit
KRUG19-1_SAMN06267310_MAG_00000062	Yoonia sp002378665	Yoonia	KRUG19-1	Seawater	True	4	5	0.600	0.400	425	4	5	0.800	2	3	92.75	1.25	likely_legit
MCIN21-1_SAMEA7319926_MAG_00000006	Unknown Azonexus	Azonexus	MCIN21-1	Freshwater pond sediment	True	5	5	0.400	0.600	577	4	5	0.800	5	5	85.78	3.93	uncertain
OBRI24-1_SAMEA115094373_MAG_00000067	Hyphomonas sp000682775	Hyphomonas	OBRI24-1	Seawater	True	5	5	0.400	0.200	313	5	5	1.000	4	5	81.88	1.44	uncertain
PUEN22-1_SAMN25861445_MAG_00000124	Puniceibacterium antarcticum	Puniceibacterium	PUEN22-1	Seawater	True	5	5	0.400	0.400	422	5	5	1.000	2	4	90.45	2.34	uncertain
