genome	target_id	pident_to_nearest	nearest_hit_target_id	qcov	tcov	depth_m	domain	phylum	genus	ecosystem_compartment	sample_source	ecosystem_type	study_id	lat	lon
RSGB23-1_GCF-001460935-V1_GENO_10000001	OMDBv2.0_AA_G_NR100_000140823244	32.7	OMDBv2.0_AA_G_NR100_000140681541	0.86	0.91		Bacteria	Pseudomonadota	Ichthyocystis	NA	NA	NA	RSGB23-1		
SATI15-1_SAMN03252821_MAG_00000058	OMDBv2.0_AA_G_NR100_000160099602	30.8	OMDBv2.0_AA_G_NR100_000117883595	0.9	0.98	0.5	Bacteria	Actinomycetota	PALSA-600	Freshwater river water	Freshwater river water	Riverine	SATI15-1	-2.48438	-55.0075
SATO17-1_SAMN04961670_MAG_00000024	OMDBv2.0_AA_G_NR100_000160311745	28.6	OMDBv2.0_AA_G_NR100_000185305735	0.94	0.72		Bacteria	Pseudomonadota	Unknown JALZUV01	Coral tissue	Montipora hispida	Cnidaria	SATO17-1	-18.55	146.49
SUHA22-1_SAMN20336539_MAG_00000055	OMDBv2.0_AA_G_NR100_000174814502	33.1	OMDBv2.0_AA_G_NR100_000167451151	0.69	0.82		Bacteria	Actinomycetota	Unknown Nitriliruptoraceae	Seawater	Seawater	Marine	SUHA22-1	10.98753	112.9924
SUMM22-1_SAMN21164848_MAG_00000007	OMDBv2.0_AA_G_NR100_000175527226	32.7	OMDBv2.0_AA_G_NR100_000199800005	0.98	0.8		Bacteria	Bdellovibrionota	Unknown Bdellovibrionales	Animal bone biofilm	Animal bone biofilm	Marine	SUMM22-1	1.35	103.8
SUTE22-1_SAMN10231911_MAG_00000121	OMDBv2.0_AA_G_NR100_000178502003	33.0	OMDBv2.0_AA_G_NR100_000229124594	0.72	0.87		Bacteria	Myxococcota	Unknown GCA-2863065	Seawater	Seawater	Marine	SUTE22-1	10.617	-65.167
SUTE22-1_SAMN10231912_MAG_00000089	OMDBv2.0_AA_G_NR100_000178502003	33.0	OMDBv2.0_AA_G_NR100_000229124594	0.72	0.87		Bacteria	Myxococcota	Unknown GCA-2863065	Seawater	Seawater	Marine	SUTE22-1	10.617	-65.167
TARA_SAMEA2620204_MAG_00000031	OMDBv2.0_AA_G_NR100_000186547620	30.1	OMDBv2.0_AA_G_NR100_000219104540	0.98	0.99	5.0	Bacteria	Pseudomonadota	GCA-2707205	Seawater	Seawater	Marine	TOPC	14.6059	70.0
TARA_SAMEA2621232_MAG_00000106	OMDBv2.0_AA_G_NR100_000186547620	30.1	OMDBv2.0_AA_G_NR100_000219104540	0.98	0.99	800.0	Bacteria	Pseudomonadota	GCA-2707205	Seawater	Seawater	Marine	TOPC	-20.9315	-35.1794
TARA_SAMEA2621242_MAG_00000073	OMDBv2.0_AA_G_NR100_000186547620	30.1	OMDBv2.0_AA_G_NR100_000219104540	0.98	0.99	800.0	Bacteria	Pseudomonadota	GCA-2707205	Seawater	Seawater	Marine	TOPC	-20.9315	-35.2742
TARA_SAMEA2622369_MAG_00000046	OMDBv2.0_AA_G_NR100_000191991821	28.7	OMDBv2.0_AA_G_NR100_000117883595	0.87	0.94	380.0	Bacteria	Planctomycetota	GCA-2683825	Seawater	Seawater	Marine	TOPC	2.0649	-84.5107
TARA_SAMEA6036610_MAG_00000022	OMDBv2.0_AA_G_NR100_000218417001	27.8	OMDBv2.0_AA_G_NR100_000226652964	0.79	0.61		Bacteria	Pseudomonadota	Unknown Midichloriaceae	Seawater	Seawater	Marine	TPAC	7.458367	134.2147
TARA_SAMEA6042488_MAG_00000026	OMDBv2.0_AA_G_NR100_000218417001	27.8	OMDBv2.0_AA_G_NR100_000226652964	0.79	0.61		Bacteria	Pseudomonadota	Unknown Midichloriaceae	Seawater	Seawater	Marine	TPAC	10.30168	-109.235
WANG22-1_SAMN08714628-S002_MAG_00000305	OMDBv2.0_AA_G_NR100_000232167913	30.3	OMDBv2.0_AA_G_NR100_000175149979	0.85	0.89		Bacteria	Pseudomonadota	Unknown JBCCZV01	Marine biofilm	Marine biofilm	Marine	WANG22-1	22.34	114.27
