cluster_id	n_genomes	n_studies	n_classes	top_genus
OMDBv2.0_AA_G_NR100_000148602748	28	13	1	Cobetia
OMDBv2.0_AA_G_NR100_000024929755	27	9	1	Novosphingobium
OMDBv2.0_AA_G_NR100_000058499574	27	7	2	UBA11136
OMDBv2.0_AA_G_NR100_000031469727	27	5	1	LFER01
OMDBv2.0_AA_G_NR100_000242788392	26	4	1	Polaromonas
OMDBv2.0_AA_G_NR100_000035112905	26	8	1	Oleispira
OMDBv2.0_AA_G_NR100_000070519940	26	8	1	Bermanella
OMDBv2.0_AA_G_NR100_000146922706	26	6	1	Halopseudomonas
OMDBv2.0_AA_G_NR100_000123915835	26	1	2	HK1
OMDBv2.0_AA_G_NR100_000175232984	26	4	1	HXMU1428-3
OMDBv2.0_AA_G_NR100_000075452644	26	6	1	Nereida
OMDBv2.0_AA_G_NR100_000101745410	26	11	1	Aurantimonas
OMDBv2.0_AA_G_NR100_000162608983	26	11	1	Hyphomonas
OMDBv2.0_AA_G_NR100_000053731326	26	11	1	Sphingomonas
OMDBv2.0_AA_G_NR100_000161696913	26	10	1	Porticoccus
OMDBv2.0_AA_G_NR100_000050415557	26	12	1	Methyloceanibacter
OMDBv2.0_AA_G_NR100_000090434779	26	14	1	Phenylobacterium
OMDBv2.0_AA_G_NR100_000146625855	25	9	1	Aurantiacibacter
OMDBv2.0_AA_G_NR100_000056190578	25	6	1	VYFG01
OMDBv2.0_AA_G_NR100_000169614136	25	10	1	Variovorax
OMDBv2.0_AA_G_NR100_000000328659	25	12	1	Thalassococcus
OMDBv2.0_AA_G_NR100_000110667210	25	15	1	Limnobacter
OMDBv2.0_AA_G_NR100_000245909480	25	11	1	CAMYMG01
OMDBv2.0_AA_G_NR100_000144394763	25	2	1	Burkholderia
OMDBv2.0_AA_G_NR100_000014808091	25	9	1	TMED23
OMDBv2.0_AA_G_NR100_000192554772	25	8	1	Roseitalea
OMDBv2.0_AA_G_NR100_000173150426	24	5	1	Stenotrophomonas
OMDBv2.0_AA_G_NR100_000032061809	24	7	1	MPNP01
OMDBv2.0_AA_G_NR100_000056486223	24	6	1	VYFG01
OMDBv2.0_AA_G_NR100_000062556993	24	10	1	Sphingopyxis
OMDBv2.0_AA_G_NR100_000203074481	24	10	2	JAKSBE01
OMDBv2.0_AA_G_NR100_000041025644	24	3	1	JANQMX01
OMDBv2.0_AA_G_NR100_000179901255	24	9	1	UBA6544
OMDBv2.0_AA_G_NR100_000163038288	24	6	1	Sulfitobacter
OMDBv2.0_AA_G_NR100_000103888351	24	5	1	Azonexus
OMDBv2.0_AA_G_NR100_000088692118	23	6	1	JACZWN01
OMDBv2.0_AA_G_NR100_000041026100	23	2	1	JANQMX01
OMDBv2.0_AA_G_NR100_000005223125	23	12	1	UBA4457
OMDBv2.0_AA_G_NR100_000062180918	23	3	1	Bacillus_A
OMDBv2.0_AA_G_NR100_000025380762	23	10	1	Pseudoalteromonas
OMDBv2.0_AA_G_NR100_000081956478	23	12	1	Salipiger
OMDBv2.0_AA_G_NR100_000056981010	23	9	1	JAABYT01
OMDBv2.0_AA_G_NR100_000025813552	23	6	1	HIMB30
OMDBv2.0_AA_G_NR100_000013408988	23	8	2	UBA7377
OMDBv2.0_AA_G_NR100_000142691809	23	4	1	Photobacterium
OMDBv2.0_AA_G_NR100_000182313914	23	9	1	Sulfitobacter
OMDBv2.0_AA_G_NR100_000141963936	23	6	1	SAT37
OMDBv2.0_AA_G_NR100_000145182836	23	1	1	Legionella
OMDBv2.0_AA_G_NR100_000069636309	23	11	2	Thalassobacter
OMDBv2.0_AA_G_NR100_000156326049	23	11	1	Pseudooceanicola
OMDBv2.0_AA_G_NR100_000027474331	23	11	2	Amylibacter
OMDBv2.0_AA_G_NR100_000170548776	22	8	1	UBA830
OMDBv2.0_AA_G_NR100_000012705418	22	7	3	JADFNQ01
OMDBv2.0_AA_G_NR100_000078275115	22	9	1	Halioglobus
OMDBv2.0_AA_G_NR100_000235315032	22	13	1	Novosphingopyxis
OMDBv2.0_AA_G_NR100_000226239841	22	12	1	Aliiroseovarius
OMDBv2.0_AA_G_NR100_000161032552	22	7	1	JABJJH01
OMDBv2.0_AA_G_NR100_000054522522	22	12	1	Pseudooceanicola_C
OMDBv2.0_AA_G_NR100_000153526004	22	10	2	Sulfitobacter
OMDBv2.0_AA_G_NR100_000191286821	22	4	1	UBA1479
OMDBv2.0_AA_G_NR100_000220812377	22	2	1	Algihabitans
OMDBv2.0_AA_G_NR100_000141127745	22	8	1	Roseibium
OMDBv2.0_AA_G_NR100_000058200637	21	12	1	Acinetobacter
OMDBv2.0_AA_G_NR100_000010944704	21	7	1	Hyphomonas
OMDBv2.0_AA_G_NR100_000190660107	21	4	1	UBA8366
OMDBv2.0_AA_G_NR100_000162081747	21	9	1	Qipengyuania
OMDBv2.0_AA_G_NR100_000035955269	21	5	1	Roseovarius
OMDBv2.0_AA_G_NR100_000225875120	21	6	1	Hyphomicrobium_A
OMDBv2.0_AA_G_NR100_000218324452	21	9	1	Shimia
OMDBv2.0_AA_G_NR100_000228738522	21	7	1	Oceanobacter
OMDBv2.0_AA_G_NR100_000054498265	21	7	1	Thalassobacter
OMDBv2.0_AA_G_NR100_000148874301	21	10	1	Cupriavidus
OMDBv2.0_AA_G_NR100_000146625578	21	9	1	Aurantiacibacter
OMDBv2.0_AA_G_NR100_000200491842	21	10	1	UBA11873
OMDBv2.0_AA_G_NR100_000001563369	21	7	1	Algicoccus
OMDBv2.0_AA_G_NR100_000160339895	20	11	1	Neptuniibacter
OMDBv2.0_AA_G_NR100_000019978683	20	8	1	UBA7451
OMDBv2.0_AA_G_NR100_000036872736	20	7	1	PZPK01
OMDBv2.0_AA_G_NR100_000069639509	20	6	1	Marivivens
OMDBv2.0_AA_G_NR100_000088671462	20	4	1	JACZTE01
OMDBv2.0_AA_G_NR100_000115480303	20	1	1	G963422565
OMDBv2.0_AA_G_NR100_000150514234	20	7	1	Thauera
OMDBv2.0_AA_G_NR100_000004074030	20	4	1	UBA2463
OMDBv2.0_AA_G_NR100_000002782326	20	7	1	UBA5972
OMDBv2.0_AA_G_NR100_000057151034	20	8	1	CAJXSO01
OMDBv2.0_AA_G_NR100_000146810331	20	1	1	Legionella
OMDBv2.0_AA_G_NR100_000138625826	20	11	2	Porticoccus
OMDBv2.0_AA_G_NR100_000230570996	20	3	1	JANQMX01
OMDBv2.0_AA_G_NR100_000000467122	19	11	1	Acinetobacter
OMDBv2.0_AA_G_NR100_000016954137	19	5	1	UBA7455
OMDBv2.0_AA_G_NR100_000175222430	19	11	1	Ketobacter
OMDBv2.0_AA_G_NR100_000199225715	19	4	1	Pseudomonas_E
OMDBv2.0_AA_G_NR100_000083286238	19	11	1	UBA7359
OMDBv2.0_AA_G_NR100_000169383721	19	3	1	Polaromonas
OMDBv2.0_AA_G_NR100_000032539463	19	6	1	Hyphococcus
OMDBv2.0_AA_G_NR100_000019111861	19	12	1	Dinoroseobacter
OMDBv2.0_AA_G_NR100_000122660821	19	1	2	VXMT01
OMDBv2.0_AA_G_NR100_000001581896	19	7	1	CALAXT01
OMDBv2.0_AA_G_NR100_000033884939	19	3	1	CALLCD01
OMDBv2.0_AA_G_NR100_000054130181	19	4	1	Roseitalea
OMDBv2.0_AA_G_NR100_000229741319	19	5	1	Jannaschia
OMDBv2.0_AA_G_NR100_000104667124	19	4	1	DAHVFK01
OMDBv2.0_AA_G_NR100_000062391255	19	6	1	Thiosocius
OMDBv2.0_AA_G_NR100_000186456883	19	7	1	Hyphomonas
OMDBv2.0_AA_G_NR100_000217772865	19	9	1	Henriciella
OMDBv2.0_AA_G_NR100_000137395662	19	3	1	Methylocystis
OMDBv2.0_AA_G_NR100_000027434110	18	6	1	JAEXNA01
OMDBv2.0_AA_G_NR100_000182396769	18	4	1	Janthinobacterium
OMDBv2.0_AA_G_NR100_000000181880	18	7	1	Porticoccus
OMDBv2.0_AA_G_NR100_000162600840	18	8	1	Unknown Bin95
OMDBv2.0_AA_G_NR100_000101777135	18	13	1	PZPK01
OMDBv2.0_AA_G_NR100_000063716309	18	6	1	TMED26
OMDBv2.0_AA_G_NR100_000065299392	18	10	2	JABJAG01
OMDBv2.0_AA_G_NR100_000104404099	18	8	1	UBA8079
OMDBv2.0_AA_G_NR100_000105180269	18	8	2	Amylibacter
OMDBv2.0_AA_G_NR100_000088450242	18	6	1	JAYZAP01
OMDBv2.0_AA_G_NR100_000161679209	18	8	1	Marimicrobium
OMDBv2.0_AA_G_NR100_000002121462	18	4	1	HIMB30
OMDBv2.0_AA_G_NR100_000055910110	18	4	2	JAJDXO01
OMDBv2.0_AA_G_NR100_000044429788	18	4	1	MnTg04
OMDBv2.0_AA_G_NR100_000147462421	18	7	1	Sphingobium
OMDBv2.0_AA_G_NR100_000062762176	18	8	1	Sphingomonas
OMDBv2.0_AA_G_NR100_000236205264	18	2	1	Psychrobacter
OMDBv2.0_AA_G_NR100_000147442859	18	7	2	UBA3064
OMDBv2.0_AA_G_NR100_000013537294	17	6	3	Pseudothioglobus
OMDBv2.0_AA_G_NR100_000196878238	17	6	1	Salinisphaera
OMDBv2.0_AA_G_NR100_000041552436	17	7	1	PGZG01
OMDBv2.0_AA_G_NR100_000212155838	17	2	1	Algihabitans
OMDBv2.0_AA_G_NR100_000102586940	17	4	1	Loktanella
OMDBv2.0_AA_G_NR100_000056851784	17	8	2	JAABYT01
OMDBv2.0_AA_G_NR100_000038309723	17	3	1	Immundisolibacter
OMDBv2.0_AA_G_NR100_000060567539	17	11	1	VMCJ01
OMDBv2.0_AA_G_NR100_000040328328	17	3	1	UBA1479
OMDBv2.0_AA_G_NR100_000032346156	17	1	1	Unknown GM7GCV1
OMDBv2.0_AA_G_NR100_000006327702	17	5	1	RS62
OMDBv2.0_AA_G_NR100_000140273096	17	8	1	Celeribacter
OMDBv2.0_AA_G_NR100_000033442376	17	8	1	Pikeienuella
OMDBv2.0_AA_G_NR100_000105583328	17	3	1	JAJDZL01
OMDBv2.0_AA_G_NR100_000013614409	17	5	3	GCA-2704625
OMDBv2.0_AA_G_NR100_000041307961	17	6	2	Nisaea
OMDBv2.0_AA_G_NR100_000136245482	17	7	1	Caulobacter
OMDBv2.0_AA_G_NR100_000206453346	17	3	1	Henriciella
OMDBv2.0_AA_G_NR100_000141998000	17	9	1	Henriciella
OMDBv2.0_AA_G_NR100_000144938675	17	5	1	Halomonas
OMDBv2.0_AA_G_NR100_000006476819	16	7	1	MED-G105
OMDBv2.0_AA_G_NR100_000223824502	16	8	1	Ketobacter
OMDBv2.0_AA_G_NR100_000210893182	16	7	1	Mycobacterium
OMDBv2.0_AA_G_NR100_000175233309	16	1	1	HXMU1428-3
OMDBv2.0_AA_G_NR100_000121097189	16	1	1	SP197
OMDBv2.0_AA_G_NR100_000122174765	16	1	1	Unknown JAJDZL01
OMDBv2.0_AA_G_NR100_000153494820	16	3	1	Roseobacter
OMDBv2.0_AA_G_NR100_000247275362	16	3	1	JACZQZ01
OMDBv2.0_AA_G_NR100_000242525911	16	8	1	Aeromicrobium
OMDBv2.0_AA_G_NR100_000050799677	16	7	1	UBA4457
OMDBv2.0_AA_G_NR100_000065805948	16	6	1	JABJJH01
OMDBv2.0_AA_G_NR100_000103353802	16	6	1	Azonexus
OMDBv2.0_AA_G_NR100_000099446167	16	5	1	JAPOXR01
OMDBv2.0_AA_G_NR100_000084377334	16	10	1	Roseovarius
OMDBv2.0_AA_G_NR100_000147776289	16	5	1	Allorhizobium
OMDBv2.0_AA_G_NR100_000036199594	16	7	1	Sneathiella
OMDBv2.0_AA_G_NR100_000036533161	16	2	1	Hyphomonas
OMDBv2.0_AA_G_NR100_000117348569	16	5	1	JAJDZL01
OMDBv2.0_AA_G_NR100_000183255341	16	6	1	UBA2705
OMDBv2.0_AA_G_NR100_000022979397	16	10	1	Qipengyuania
OMDBv2.0_AA_G_NR100_000041047027	16	5	1	JAKSBE01
OMDBv2.0_AA_G_NR100_000136696341	16	4	1	Ralstonia
OMDBv2.0_AA_G_NR100_000038449642	16	7	1	Hyphococcus
OMDBv2.0_AA_G_NR100_000060597387	15	7	1	UBA4457
OMDBv2.0_AA_G_NR100_000174886851	15	5	1	JAAFAL01
OMDBv2.0_AA_G_NR100_000112447345	15	4	1	Stenotrophomonas
OMDBv2.0_AA_G_NR100_000041107022	15	5	1	JAKSBE01
