genome	n_phaC	gtdb_species	gtdb_genus	gtdb_phylum	study_id	ecosystem_compartment	latitude_degN	longitude_degE	is_mag	contamination_pct	n_targets_found	n_catalytic_triad_complete	n_hmm_supported	n_no_hit
CARD22-1_SAMN24292812_MAG_00000014	7	Unknown Desulfoluna	Desulfoluna	Desulfobacterota	CARD22-1	Coral tissue	22.18	39.02	True	4.23	7	7	0	0
CHAS20-1_SAMN14350117_MAG_00000061	7	Unknown HK1	Unknown HK1	Pseudomonadota	CHAS20-1	Marine sediment	-17.4742	-149.783	True	8.45	7	7	0	0
RSGB23-1_GCF-000770585-V1_GENO_10000001	7	Legionella norrlandica	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.95	7	7	0	0
RSGB23-1_GCF-003176875-V1_GENO_10000001	7	Legionella anisa	Legionella	Pseudomonadota	RSGB23-1	NA			False	1.53	7	7	0	0
RSGB23-1_GCF-009469605-V1_GENO_10000001	7	Zoogloea oryzae	Zoogloea	Pseudomonadota	RSGB23-1	NA			False	1.09	7	7	0	0
RSGB23-1_GCF-014109805-V1_GENO_10000001	7	Legionella resiliens	Legionella	Pseudomonadota	RSGB23-1	NA			False	2.67	7	7	0	0
RSGB23-1_GCF-900699765-V1_GENO_10000001	7	Desulfoluna butyratoxydans	Desulfoluna	Desulfobacterota	RSGB23-1	NA			False	1.29	7	7	0	0
RSGB23-1_GCF-902498735-V1_GENO_10000001	7	Desulfoluna spongiiphila	Desulfoluna	Desulfobacterota	RSGB23-1	NA			False	1.61	7	7	0	0
TARA_SAMEA4397363_MAG_00000003	7	Sulfitobacter sp963976125	Sulfitobacter	Pseudomonadota	TOPC	Seawater	79.2026	66.4749	True	0.8	7	7	0	0
TARA_SAMEA5999008_MAG_00000204	7	Unknown Bradyrhizobium	Bradyrhizobium	Pseudomonadota	TPAC	Seawater	7.8732	-81.7942	True	3.69	7	7	0	0
ACIN21-1_SAMN05422133_MAG_00000018	6	Antarctobacter sp019392335	Antarctobacter	Pseudomonadota	ACIN21-1	Seawater	19.9897	-52.6367	True	0.68	6	5	1	0
ACIN21-1_SAMN05422140_MAG_00000006	6	Antarctobacter sp019392335	Antarctobacter	Pseudomonadota	ACIN21-1	Seawater	21.0638	-150.319	True	0.32	6	5	1	0
ATLA15-1_SAMN03981636-S001_MAG_00000366	6	Unknown JAABRB01	JAABRB01	Pseudomonadota	ATLA15-1	Marine sediment	29.456	-89.887	True	0.53	6	6	0	0
ATLA15-1_SAMN03981669-S001_MAG_00000037	6	Unknown Desulfosarcinaceae	Unknown Desulfosarcinaceae	Desulfobacterota	ATLA15-1	Marine sediment	29.468	-89.882	True	1.94	6	6	0	0
ATLA15-1_SAMN03981677-S001_MAG_00000045	6	Unknown JAHIVH01	Unknown JAHIVH01	Desulfobacterota	ATLA15-1	Marine sediment	29.456	-89.887	True	1.94	6	6	0	0
BPAM22-1_SAMN07482816_MAG_00000014	6	Unknown JABMNR01	JABMNR01	Pseudomonadota	BPAM22-1	Seawater	-42.5967	148.2333	True	1.09	6	6	0	0
CAOS20-1_SAMN13674977-S001_MAG_00000072	6	Unknown Sphingobium	Sphingobium	Pseudomonadota	CAOS20-1	Seawater	39.3	139.65	True	7.04	6	6	0	0
CAOS20-1_SAMN13674977-S003_MAG_00000025	6	Unknown EhC02	EhC02	Pseudomonadota	CAOS20-1	Seawater	39.3	139.65	True	0.0	6	6	0	0
CAOS20-1_SAMN13674978-S011_MAG_00000173	6	Novosphingobium indicum	Novosphingobium	Pseudomonadota	CAOS20-1	Seawater	-67.76	-89.29	True	0.42	6	6	0	0
CAOS20-1_SAMN13674978-S013_MAG_00000007	6	Unknown CANJQJ01	CANJQJ01	Pseudomonadota	CAOS20-1	Seawater	-67.76	-89.29	True	4.56	6	6	0	0
CHAS20-1_SAMN14350117_MAG_00000050	6	JASJBI01 sp030066595	JASJBI01	Pseudomonadota	CHAS20-1	Marine sediment	-17.4742	-149.783	True	8.72	6	6	0	0
CHAS20-1_SAMN14350117_MAG_00000051	6	Unknown CALKHQ01	Unknown CALKHQ01	Pseudomonadota	CHAS20-1	Marine sediment	-17.4742	-149.783	True	1.12	6	6	0	0
DONG22-1_SAMN19687753_MAG_00000017	6	Unknown HK1	Unknown HK1	Pseudomonadota	DONG22-1	Marine sediment	16.07455	111.7974	True	0.0	6	6	0	0
KELL22-1_SAMN22237333_MAG_00000019	6	Unknown JASJEC01	JASJEC01	Pseudomonadota	KELL22-1	Marine sponge tissue	24.6609	-81.4563	True	1.41	6	6	0	0
LUOR22-1_SAMEA13410271_MAG_00000023	6	Unknown Reyranella	Reyranella	Pseudomonadota	LUOR22-1	Seawater	42.1145	3.168478	True	1.09	6	6	0	0
RSGB23-1_GCA-013519935-V1_GENO_10000001	6	WFHF3C12 sp013519935	WFHF3C12	Pseudomonadota	RSGB23-1	NA			False	0.0	6	6	0	0
RSGB23-1_GCF-000404245-V1_GENO_10000001	6	Legionella pneumophila	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.19	6	6	0	0
RSGB23-1_GCF-000455845-V1_GENO_10000001	6	Legionella pneumophila	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.19	6	6	0	0
RSGB23-1_GCF-000694995-V1_GENO_10000001	6	Legionella pneumophila	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.19	6	6	0	0
RSGB23-1_GCF-000702385-V1_GENO_10000001	6	Xanthobacter aminoxidans	Xanthobacter	Pseudomonadota	RSGB23-1	NA			False	0.0	6	6	0	0
RSGB23-1_GCF-000734975-V2_GENO_10000001	6	Vreelandella glaciei	Vreelandella	Pseudomonadota	RSGB23-1	NA			False	0.84	6	6	0	0
RSGB23-1_GCF-000763905-V1_GENO_10000001	6	Paracoccus halophilus	Paracoccus	Pseudomonadota	RSGB23-1	NA			False	0.0	6	6	0	0
RSGB23-1_GCF-000812465-V1_GENO_10000001	6	Cupriavidus sp000812465	Cupriavidus	Pseudomonadota	RSGB23-1	NA			False	1.49	6	6	0	0
RSGB23-1_GCF-000953915-V1_GENO_10000001	6	Legionella pneumophila	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.19	6	6	0	0
RSGB23-1_GCF-002105285-V1_GENO_10000001	6	Planktotalea arctica	Planktotalea	Pseudomonadota	RSGB23-1	NA			False	0.16	6	6	0	0
RSGB23-1_GCF-002355855-V1_GENO_10000001	6	Sphingobium cloacae	Sphingobium	Pseudomonadota	RSGB23-1	NA			False	1.87	6	6	0	0
RSGB23-1_GCF-002741725-V1_GENO_10000001	6	Rhodococcus ruber	Rhodococcus	Actinomycetota	RSGB23-1	NA			False	0.75	6	6	0	0
RSGB23-1_GCF-003149435-V1_GENO_10000001	6	Sediminicurvatus halobius	Sediminicurvatus	Pseudomonadota	RSGB23-1	NA			False	1.41	6	6	0	0
RSGB23-1_GCF-003205035-V1_GENO_10000001	6	Legionella pneumophila	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.38	6	6	0	0
RSGB23-1_GCF-003205045-V1_GENO_10000001	6	Legionella pneumophila	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.32	6	6	0	0
RSGB23-1_GCF-003205055-V1_GENO_10000001	6	Legionella pneumophila	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.19	6	6	0	0
RSGB23-1_GCF-003205065-V1_GENO_10000001	6	Legionella pneumophila	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.19	6	6	0	0
RSGB23-1_GCF-003205115-V1_GENO_10000001	6	Legionella pneumophila	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.19	6	6	0	0
RSGB23-1_GCF-003205135-V1_GENO_10000001	6	Legionella pneumophila	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.19	6	6	0	0
RSGB23-1_GCF-003205175-V1_GENO_10000001	6	Legionella pneumophila	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.19	6	6	0	0
RSGB23-1_GCF-003399765-V1_GENO_10000001	6	AK92 sp003399765	AK92	Pseudomonadota	RSGB23-1	NA			False	1.41	6	6	0	0
RSGB23-1_GCF-003697265-V1_GENO_10000001	6	Sphingobium yanoikuyae	Sphingobium	Pseudomonadota	RSGB23-1	NA			False	0.0	6	6	0	0
RSGB23-1_GCF-003844175-V1_GENO_10000001	6	Rhodococcus ruber	Rhodococcus	Actinomycetota	RSGB23-1	NA			False	0.63	6	6	0	0
RSGB23-1_GCF-004137185-V1_GENO_10000001	6	Legionella pneumophila	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.19	6	6	0	0
RSGB23-1_GCF-004168975-V1_GENO_10000001	6	Legionella fraseri	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.19	6	6	0	0
RSGB23-1_GCF-004920575-V1_GENO_10000001	6	Legionella pneumophila	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.19	6	6	0	0
RSGB23-1_GCF-004920585-V1_GENO_10000001	6	Legionella pneumophila	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.57	6	6	0	0
RSGB23-1_GCF-005780185-V1_GENO_10000001	6	Halomonas urmiana	Halomonas	Pseudomonadota	RSGB23-1	NA			False	1.43	6	6	0	0
RSGB23-1_GCF-006363875-V1_GENO_10000001	6	Sphingobium fuliginis	Sphingobium	Pseudomonadota	RSGB23-1	NA			False	0.0	6	6	0	0
RSGB23-1_GCF-010993675-V1_GENO_10000001	6	Modicisalibacter tunisiensis	Modicisalibacter	Pseudomonadota	RSGB23-1	NA			False	0.0	6	6	0	0
RSGB23-1_GCF-011683955-V1_GENO_10000001	6	Pseudomaricurvus alkylphenolicus	Pseudomaricurvus	Pseudomonadota	RSGB23-1	NA			False	0.0	6	6	0	0
RSGB23-1_GCF-017894365-V1_GENO_10000001	6	Aromatoleum bremense	Aromatoleum	Pseudomonadota	RSGB23-1	NA			False	0.41	6	6	0	0
RSGB23-1_GCF-018531475-V1_GENO_10000001	6	Pseudonocardia sp018531475	Pseudonocardia	Actinomycetota	RSGB23-1	NA			False	2.84	6	6	0	0
TAOJ22-1_SAMN27365860_MAG_00000012	6	Unknown Sulfitobacter	Sulfitobacter	Pseudomonadota	TAOJ22-1	Seawater	36.155	120.33	True	9.55	6	6	0	0
TARA_SAMEA2622331_MAG_00000019	6	Novosphingobium indicum	Novosphingobium	Pseudomonadota	TOPC	Seawater	1.9928	-84.553	True	0.46	6	6	0	0
TARA_SAMEA4397215_MAG_00000062	6	CAXBJY01 sp963976285	CAXBJY01	Pseudomonadota	TOPC	Seawater	72.5199	44.0932	True	4.3	6	6	0	0
TARA_SAMEA4398238_MAG_00000113	6	Unknown GCA-2731375	Unknown GCA-2731375	Pseudomonadota	TOPC	Seawater	70.9433	-53.5349	True	0.0	6	6	0	0
TARA_SAMEA5999008_MAG_00000158	6	Unknown Piscinibacter	Piscinibacter	Pseudomonadota	TPAC	Seawater	7.8732	-81.7942	True	5.93	6	6	0	0
WIND23-1_Gp0561256-S001_MAG_00000086	6	Sulfitobacter sp026421135	Sulfitobacter	Pseudomonadota	WIND23-1	Sea ice	87.3239	107.4423	True	0.0	6	6	0	0
WIND23-1_Gp0561258-S001_MAG_00000032	6	Sulfitobacter sp013139555	Sulfitobacter	Pseudomonadota	WIND23-1	Sea ice	87.4458	95.6702	True	0.9	6	6	0	0
WIND23-1_Gp0561260-S001_MAG_00000069	6	Sulfitobacter sp013139555	Sulfitobacter	Pseudomonadota	WIND23-1	Sea ice	87.4122	93.2151	True	8.35	6	6	0	0
ZHEN22-1_SAMN12826202_MAG_00000306	6	Unknown JAPULJ01	JAPULJ01	Pseudomonadota	ZHEN22-1	Marine sediment	-34.8	54.37	True	8.81	6	6	0	0
ACIN21-1_SAMN05422113_MAG_00000002	5	Antarctobacter sp019392335	Antarctobacter	Pseudomonadota	ACIN21-1	Seawater	9.22	-163.53	True	1.41	5	4	1	0
ATLA15-1_SAMN03981636-S001_MAG_00000170	5	Unknown CAIRSR01	Unknown CAIRSR01	Pseudomonadota	ATLA15-1	Marine sediment	29.456	-89.887	True	7.04	5	5	0	0
ATLA15-1_SAMN03981667-S001_MAG_00000013	5	Unknown JAHIVH01	JAHIVH01	Desulfobacterota	ATLA15-1	Marine sediment	29.435	-89.883	True	0.0	5	5	0	0
ATLA15-1_SAMN03981669-S001_MAG_00000153	5	Hyphomonas sp000682735	Hyphomonas	Pseudomonadota	ATLA15-1	Marine sediment	29.468	-89.882	True	3.84	5	5	0	0
ATLA15-1_SAMN03981676-S001_MAG_00000050	5	Unknown JAHIVH01	Unknown JAHIVH01	Desulfobacterota	ATLA15-1	Marine sediment	29.456	-89.887	True	3.06	5	5	0	0
ATLA15-1_SAMN03981678-S001_MAG_00000050	5	Unknown JAABRB01	JAABRB01	Pseudomonadota	ATLA15-1	Marine sediment	29.456	-89.887	True	5.63	5	5	0	0
ATLA15-1_SAMN03981678-S001_MAG_00000110	5	Unknown JARRKU01	JARRKU01	Desulfobacterota	ATLA15-1	Marine sediment	29.456	-89.887	True	2.26	5	5	0	0
BOEU19-1_SAMN09765684_MAG_00000020	5	Henriciella sp013213825	Henriciella	Pseudomonadota	BOEU19-1	Marine sediment	22.75	-158.0	True	2.46	5	5	0	0
BPAM22-1_SAMN07449441_MAG_00000122	5	Unknown JABMNR01	JABMNR01	Pseudomonadota	BPAM22-1	Seawater	-42.5967	148.2333	True	1.74	5	5	0	0
BPAM22-1_SAMN07482793_MAG_00000005	5	Sphingomonas paucimobilis	Sphingomonas	Pseudomonadota	BPAM22-1	Seawater	-12.4	130.768	True	3.28	5	3	2	0
BPAM22-1_SAMN07482804_MAG_00000002	5	Unknown JABMNR01	JABMNR01	Pseudomonadota	BPAM22-1	Seawater	-42.5967	148.2333	True	0.0	5	5	0	0
BPAM22-1_SAMN07483222_MAG_00000032	5	Unknown Ferrovibrio	Ferrovibrio	Pseudomonadota	BPAM22-1	Seawater	-27.345	153.562	True	0.0	5	5	0	0
BPAM22-1_SAMN08953030_MAG_00000011	5	Bradyrhizobium sp001556045	Bradyrhizobium	Pseudomonadota	BPAM22-1	Seawater	-12.4	130.768	True	4.23	5	5	0	0
BRAZ22-1_SAMN16557391-S004_MAG_00000056	5	UBA7957 sp003511825	UBA7957	Pseudomonadota	BRAZ22-1	Hydrothermal vent plume	30.12405	-42.1195	True	0.0	5	5	0	0
BRYA16-1_SAMN04849236-S002_MAG_00000017	5	CAKZYD01 sp937884085	CAKZYD01	Pseudomonadota	BRYA16-1	Seawater	27.72992	-154.898	True	1.28	5	5	0	0
CAOS20-1_SAMN13674977-S010_MAG_00000027	5	Unknown JAWQFO01	JAWQFO01	Pseudomonadota	CAOS20-1	Seawater	39.3	139.65	True	1.27	5	5	0	0
CAOS20-1_SAMN13674977-S010_MAG_00000048	5	Sulfitobacter sp026421135	Sulfitobacter	Pseudomonadota	CAOS20-1	Seawater	39.3	139.65	True	1.32	5	5	0	0
CAOS20-1_SAMN13674977-S020_MAG_00000060	5	Unknown Sphingobium	Sphingobium	Pseudomonadota	CAOS20-1	Seawater	39.3	139.65	True	2.25	5	5	0	0
CAOS20-1_SAMN13674978-S005_MAG_00000083	5	Unknown Hyphococcus	Hyphococcus	Pseudomonadota	CAOS20-1	Seawater	-67.76	-89.29	True	1.03	5	5	0	0
CAOS20-1_SAMN13674978-S005_MAG_00000124	5	Novosphingobium indicum	Novosphingobium	Pseudomonadota	CAOS20-1	Seawater	-67.76	-89.29	True	1.99	5	5	0	0
CAOS20-1_SAMN13674978-S008_MAG_00000061	5	Novosphingobium indicum	Novosphingobium	Pseudomonadota	CAOS20-1	Seawater	-67.76	-89.29	True	1.84	5	5	0	0
CAOS20-1_SAMN13674978-S008_MAG_00000082	5	Unknown Hyphococcus	Hyphococcus	Pseudomonadota	CAOS20-1	Seawater	-67.76	-89.29	True	1.41	5	5	0	0
CAOS20-1_SAMN13674978-S011_MAG_00000090	5	Unknown Hyphococcus	Hyphococcus	Pseudomonadota	CAOS20-1	Seawater	-67.76	-89.29	True	2.2	5	5	0	0
CAOS20-1_SAMN13674978-S011_MAG_00000111	5	Unknown CANJQJ01	CANJQJ01	Pseudomonadota	CAOS20-1	Seawater	-67.76	-89.29	True	1.52	5	5	0	0
CAOS20-1_SAMN13674978-S012_MAG_00000015	5	Novosphingobium indicum	Novosphingobium	Pseudomonadota	CAOS20-1	Seawater	-67.76	-89.29	True	1.69	5	5	0	0
CAOS20-1_SAMN13674978-S012_MAG_00000186	5	Unknown Hyphococcus	Hyphococcus	Pseudomonadota	CAOS20-1	Seawater	-67.76	-89.29	True	1.53	5	5	0	0
CAOS20-1_SAMN13674978-S029_MAG_00000083	5	Unknown UBA1479	UBA1479	Pseudomonadota	CAOS20-1	Seawater	-67.76	-89.29	True	1.41	5	5	0	0
CAOS20-1_SAMN13674978-S030_MAG_00000030	5	Unknown Rubrivivax	Rubrivivax	Pseudomonadota	CAOS20-1	Seawater	-67.76	-89.29	True	1.17	5	5	0	0
CAOS20-1_SAMN13674978-S030_MAG_00000060	5	Unknown UBA1479	UBA1479	Pseudomonadota	CAOS20-1	Seawater	-67.76	-89.29	True	0.0	5	5	0	0
CAOS20-1_SAMN13674978-S030_MAG_00000078	5	Unknown DAOMNN01	DAOMNN01	Pseudomonadota	CAOS20-1	Seawater	-67.76	-89.29	True	1.04	5	5	0	0
CAOS20-1_SAMN13674978-S031_MAG_00000115	5	Unknown UBA1479	UBA1479	Pseudomonadota	CAOS20-1	Seawater	-67.76	-89.29	True	0.0	5	5	0	0
CARD22-1_SAMN24292809_MAG_00000011	5	Unknown JAKSDN01	Unknown JAKSDN01	Pseudomonadota	CARD22-1	Coral tissue	22.18	39.02	True	2.83	5	5	0	0
CARD22-1_SAMN24292821_MAG_00000019	5	Unknown JAKSDN01	Unknown JAKSDN01	Pseudomonadota	CARD22-1	Coral tissue	22.18	39.02	True	1.52	5	5	0	0
CARD22-1_SAMN24292837_MAG_00000005	5	Unknown Desulfoluna	Desulfoluna	Desulfobacterota	CARD22-1	Coral tissue	22.18	39.02	True	2.31	5	5	0	0
CHAS20-1_SAMN14350117_MAG_00000016	5	JAKSBE01 sp030066685	JAKSBE01	Pseudomonadota	CHAS20-1	Marine sediment	-17.4742	-149.783	True	4.16	5	5	0	0
DONG22-1_SAMN19687762_MAG_00000053	5	Unknown JAJFGK01	JAJFGK01	Pseudomonadota	DONG22-1	Marine sediment	17.07702	111.4736	True	2.04	5	5	0	0
DUAR15-1_SAMN06266101_MAG_00000003	5	Marinobacter flavimaris	Marinobacter	Pseudomonadota	DUAR15-1	Seawater	43.29	8.1	True	0.0	5	5	0	0
DUAR15-1_SAMN06266132_MAG_00000007	5	Marinobacter flavimaris	Marinobacter	Pseudomonadota	DUAR15-1	Seawater	38.48	10.16	True	0.0	5	5	0	0
HARO16-1_SAMN03860272_MAG_00000016	5	Marinobacter salsuginis	Marinobacter	Pseudomonadota	HARO16-1	Seawater	18.34	40.44	True	2.82	5	5	0	0
KELL22-1_SAMN22237345_MAG_00000027	5	Unknown JASJEC01	JASJEC01	Pseudomonadota	KELL22-1	Marine sponge tissue	24.6609	-81.4563	True	5.63	5	5	0	0
MCIN21-1_SAMEA7319926_MAG_00000006	5	Unknown Azonexus	Azonexus	Pseudomonadota	MCIN21-1	Freshwater pond sediment	23.80912	90.41704	True	3.93	5	5	0	0
OBRI24-1_SAMEA115094373_MAG_00000067	5	Hyphomonas sp000682775	Hyphomonas	Pseudomonadota	OBRI24-1	Seawater	-64.75841667	152.0502167	True	1.44	5	4	1	0
PUEN22-1_SAMN25861445_MAG_00000124	5	Puniceibacterium antarcticum	Puniceibacterium	Pseudomonadota	PUEN22-1	Seawater	69.03	-105.33	True	2.34	5	4	1	0
RSGB23-1_GCA-003712015-V2_GENO_10000001	5	Pseudomonas aeruginosa	Pseudomonas	Pseudomonadota	RSGB23-1	NA			False	0.63	5	5	0	0
RSGB23-1_GCA-016966195-V1_GENO_10000001	5	Bordetella bronchiseptica_F	Bordetella	Pseudomonadota	RSGB23-1	NA			False	0.58	5	5	0	0
RSGB23-1_GCF-000014785-V1_GENO_10000001	5	Alkalilimnicola ehrlichii	Alkalilimnicola	Pseudomonadota	RSGB23-1	NA			False	0.59	5	5	0	0
RSGB23-1_GCF-000016725-V1_GENO_10000001	5	Acidiphilium multivorum	Acidiphilium	Pseudomonadota	RSGB23-1	NA			False	0.0	5	5	0	0
RSGB23-1_GCF-000021765-V1_GENO_10000001	5	Thauera aminoaromatica	Thauera	Pseudomonadota	RSGB23-1	NA			False	0.0	5	5	0	0
RSGB23-1_GCF-000257545-V3_GENO_10000001	5	Pseudomonas_E mandelii	Pseudomonas_E	Pseudomonadota	RSGB23-1	NA			False	1.22	5	5	0	0
RSGB23-1_GCF-000283275-V1_GENO_10000001	5	Marinobacter psychrophilus	Marinobacter	Pseudomonadota	RSGB23-1	NA			False	0.0	5	5	0	0
RSGB23-1_GCF-000300275-V1_GENO_10000001	5	Thalassospira profundimaris	Thalassospira	Pseudomonadota	RSGB23-1	NA			False	0.0	5	5	0	0
RSGB23-1_GCF-000308315-V1_GENO_10000001	5	Tatlockia tunisiensis	Tatlockia	Pseudomonadota	RSGB23-1	NA			False	1.36	5	5	0	0
RSGB23-1_GCF-000427665-V1_GENO_10000001	5	Geminicoccus roseus	Geminicoccus	Pseudomonadota	RSGB23-1	NA			False	0.0	5	4	0	1
RSGB23-1_GCF-000695015-V1_GENO_10000001	5	Legionella pneumophila	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.0	5	5	0	0
RSGB23-1_GCF-000831325-V1_GENO_10000001	5	Thauera aminoaromatica	Thauera	Pseudomonadota	RSGB23-1	NA			False	1.41	5	5	0	0
RSGB23-1_GCF-000950675-V1_GENO_10000001	5	Legionella pneumophila	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.0	5	5	0	0
RSGB23-1_GCF-000950695-V1_GENO_10000001	5	Legionella pneumophila	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.0	5	5	0	0
RSGB23-1_GCF-000950745-V1_GENO_10000001	5	Legionella pneumophila	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.0	5	5	0	0
RSGB23-1_GCF-000953935-V1_GENO_10000001	5	Legionella pneumophila	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.0	6	6	0	0
RSGB23-1_GCF-001661075-V1_GENO_10000001	5	Pseudomonas_E silesiensis	Pseudomonas_E	Pseudomonadota	RSGB23-1	NA			False	0.0	5	5	0	0
RSGB23-1_GCF-002028455-V1_GENO_10000001	5	Zoogloea sp002028455	Zoogloea	Pseudomonadota	RSGB23-1	NA			False	2.6	5	5	0	0
RSGB23-1_GCF-002148795-V1_GENO_10000001	5	Oceanibaculum nanhaiense	Oceanibaculum	Pseudomonadota	RSGB23-1	NA			False	1.09	5	5	0	0
RSGB23-1_GCF-002760615-V1_GENO_10000001	5	Puniceibacterium antarcticum	Puniceibacterium	Pseudomonadota	RSGB23-1	NA			False	1.27	5	4	1	0
RSGB23-1_GCF-002813775-V1_GENO_10000001	5	Thiodictyon syntrophicum	Thiodictyon	Pseudomonadota	RSGB23-1	NA			False	1.71	5	5	0	0
RSGB23-1_GCF-002849615-V1_GENO_10000001	5	Pollutimonas nitritireducens	Pollutimonas	Pseudomonadota	RSGB23-1	NA			False	0.53	5	5	0	0
RSGB23-1_GCF-002881635-V1_GENO_10000001	5	Pseudomonas_E frederiksbergensis	Pseudomonas_E	Pseudomonadota	RSGB23-1	NA			False	1.18	5	5	0	0
RSGB23-1_GCF-002881715-V1_GENO_10000001	5	Pseudomonas_E frederiksbergensis	Pseudomonas_E	Pseudomonadota	RSGB23-1	NA			False	0.0	5	5	0	0
RSGB23-1_GCF-002881725-V1_GENO_10000001	5	Pseudomonas_E frederiksbergensis	Pseudomonas_E	Pseudomonadota	RSGB23-1	NA			False	0.76	5	5	0	0
RSGB23-1_GCF-002882075-V1_GENO_10000001	5	Pseudomonas_E mandelii	Pseudomonas_E	Pseudomonadota	RSGB23-1	NA			False	0.0	5	5	0	0
RSGB23-1_GCF-002882675-V1_GENO_10000001	5	Pseudomonas_E frederiksbergensis	Pseudomonas_E	Pseudomonadota	RSGB23-1	NA			False	0.0	5	5	0	0
RSGB23-1_GCF-002882695-V1_GENO_10000001	5	Pseudomonas_E frederiksbergensis	Pseudomonas_E	Pseudomonadota	RSGB23-1	NA			False	1.5	5	5	0	0
RSGB23-1_GCF-002902905-V1_GENO_10000001	5	Achromobacter sp002902905	Achromobacter	Pseudomonadota	RSGB23-1	NA			False	1.4	5	5	0	0
RSGB23-1_GCF-003072125-V1_GENO_10000001	5	Roseovarius sediminicola	Roseovarius	Pseudomonadota	RSGB23-1	NA			False	0.33	5	5	0	0
RSGB23-1_GCF-003202205-V1_GENO_10000001	5	Halomonas flagellata	Halomonas	Pseudomonadota	RSGB23-1	NA			False	1.7	5	5	0	0
RSGB23-1_GCF-003258595-V1_GENO_10000001	5	Acuticoccus sediminis	Acuticoccus	Pseudomonadota	RSGB23-1	NA			False	1.64	5	5	0	0
RSGB23-1_GCF-003265685-V1_GENO_10000001	5	Piscinibacter caeni	Piscinibacter	Pseudomonadota	RSGB23-1	NA			False	3.46	5	5	0	0
RSGB23-1_GCF-003399715-V1_GENO_10000001	5	AK92 sp003399765	AK92	Pseudomonadota	RSGB23-1	NA			False	2.86	5	5	0	0
RSGB23-1_GCF-003600895-V1_GENO_10000001	5	Nocardioides cavernaquae	Nocardioides	Actinomycetota	RSGB23-1	NA			False	2.42	5	5	0	0
RSGB23-1_GCF-003722355-V1_GENO_10000001	5	Methylocystis hirsuta	Methylocystis	Pseudomonadota	RSGB23-1	NA			False	0.0	5	5	0	0
RSGB23-1_GCF-003855495-V1_GENO_10000001	5	Methylocystis rosea_A	Methylocystis	Pseudomonadota	RSGB23-1	NA			False	0.47	5	5	0	0
