genome	genome_label	target_id	cluster	cluster_label	protein_length_aa
LUOR22-1_SAMEA13322679_MAG_00000089	LUOR22-1 2679-089	OMDBv2.0_AA_G_NR100_000100148765	OMDBv2.0_AA_G_NR100_000097754446	paralog 754446	599
LUOR22-1_SAMEA13322679_MAG_00000089	LUOR22-1 2679-089	OMDBv2.0_AA_G_NR100_000100150267	OMDBv2.0_AA_G_NR100_000220077298	paralog 077298	200
LUOR22-1_SAMEA13322679_MAG_00000089	LUOR22-1 2679-089	OMDBv2.0_AA_G_NR100_000100150584	OMDBv2.0_AA_G_NR100_000072444551	paralog 444551	143
LUOR22-1_SAMEA13322680_MAG_00000018	LUOR22-1 2680-018	OMDBv2.0_AA_G_NR100_000100268015	OMDBv2.0_AA_G_NR100_000097754446	paralog 754446	599
LUOR22-1_SAMEA13322680_MAG_00000018	LUOR22-1 2680-018	OMDBv2.0_AA_G_NR100_000100269187	OMDBv2.0_AA_G_NR100_000117940005	paralog 940005	291
LUOR22-1_SAMEA13322680_MAG_00000018	LUOR22-1 2680-018	OMDBv2.0_AA_G_NR100_000100269750	OMDBv2.0_AA_G_NR100_000220077298	paralog 077298	663
CHAS20-1_SAMN14350117_MAG_00000061	CHAS20-1 0117-061	OMDBv2.0_AA_G_NR100_000043711722	OMDBv2.0_AA_G_NR100_000043711722	paralog 711722	737
CHAS20-1_SAMN14350117_MAG_00000061	CHAS20-1 0117-061	OMDBv2.0_AA_G_NR100_000043712486	OMDBv2.0_AA_G_NR100_000104412319	paralog 412319	464
CHAS20-1_SAMN14350117_MAG_00000061	CHAS20-1 0117-061	OMDBv2.0_AA_G_NR100_000043713232	OMDBv2.0_AA_G_NR100_000061301332	paralog 301332	664
CHAS20-1_SAMN14350117_MAG_00000061	CHAS20-1 0117-061	OMDBv2.0_AA_G_NR100_000043713384	OMDBv2.0_AA_G_NR100_000043713384	paralog 713384	603
CHAS20-1_SAMN14350117_MAG_00000061	CHAS20-1 0117-061	OMDBv2.0_AA_G_NR100_000043714967	OMDBv2.0_AA_G_NR100_000043714967	paralog 714967	323
CHAS20-1_SAMN14350117_MAG_00000061	CHAS20-1 0117-061	OMDBv2.0_AA_G_NR100_000043715851	OMDBv2.0_AA_G_NR100_000043715851	paralog 715851	610
CHAS20-1_SAMN14350117_MAG_00000061	CHAS20-1 0117-061	OMDBv2.0_AA_G_NR100_000043715885	OMDBv2.0_AA_G_NR100_000043715885	paralog 715885	275
DONG22-1_SAMN19687753_MAG_00000017	DONG22-1 7753-017	OMDBv2.0_AA_G_NR100_000053863228	OMDBv2.0_AA_G_NR100_000053863228	paralog 863228	600
DONG22-1_SAMN19687753_MAG_00000017	DONG22-1 7753-017	OMDBv2.0_AA_G_NR100_000053863231	OMDBv2.0_AA_G_NR100_000053863231	paralog 863231	601
DONG22-1_SAMN19687753_MAG_00000017	DONG22-1 7753-017	OMDBv2.0_AA_G_NR100_000053864109	OMDBv2.0_AA_G_NR100_000053864109	paralog 864109	357
DONG22-1_SAMN19687753_MAG_00000017	DONG22-1 7753-017	OMDBv2.0_AA_G_NR100_000053864371	OMDBv2.0_AA_G_NR100_000043600998	paralog 600998	196
DONG22-1_SAMN19687753_MAG_00000017	DONG22-1 7753-017	OMDBv2.0_AA_G_NR100_000053866350	OMDBv2.0_AA_G_NR100_000053836052	paralog 836052	555
DONG22-1_SAMN19687753_MAG_00000017	DONG22-1 7753-017	OMDBv2.0_AA_G_NR100_000053866420	OMDBv2.0_AA_G_NR100_000053866420	paralog 866420	630
DONG22-1_SAMN19687755_MAG_00000008	DONG22-1 7755-008	OMDBv2.0_AA_G_NR100_000053889151	OMDBv2.0_AA_G_NR100_000053863231	paralog 863231	262
DONG22-1_SAMN19687755_MAG_00000008	DONG22-1 7755-008	OMDBv2.0_AA_G_NR100_000053889757	OMDBv2.0_AA_G_NR100_000053863228	paralog 863228	238
DONG22-1_SAMN19687755_MAG_00000008	DONG22-1 7755-008	OMDBv2.0_AA_G_NR100_000053889986	OMDBv2.0_AA_G_NR100_000053864109	paralog 864109	357
SOGI22-1_SAMEA6126163_MAG_00000036	SOGI22-1 6163-036	OMDBv2.0_AA_G_NR100_000170365211	OMDBv2.0_AA_G_NR100_000170365211	paralog 365211	571
SOGI22-1_SAMEA6126163_MAG_00000036	SOGI22-1 6163-036	OMDBv2.0_AA_G_NR100_000170461710	OMDBv2.0_AA_G_NR100_000170461710	paralog 461710	698
SOGI22-1_SAMEA6126163_MAG_00000036	SOGI22-1 6163-036	OMDBv2.0_AA_G_NR100_000170461719	OMDBv2.0_AA_G_NR100_000170461719	paralog 461719	155
SOGI22-1_SAMEA6126163_MAG_00000036	SOGI22-1 6163-036	OMDBv2.0_AA_G_NR100_000170461721	OMDBv2.0_AA_G_NR100_000056981010	paralog 981010	600
KELL22-1_SAMN22237328_MAG_00000073	KELL22-1 7328-073	OMDBv2.0_AA_G_NR100_000071656675	OMDBv2.0_AA_G_NR100_000117940005	paralog 940005	120
KELL22-1_SAMN22237328_MAG_00000073	KELL22-1 7328-073	OMDBv2.0_AA_G_NR100_000071657039	OMDBv2.0_AA_G_NR100_000220077298	paralog 077298	651
KELL22-1_SAMN22237328_MAG_00000073	KELL22-1 7328-073	OMDBv2.0_AA_G_NR100_000071657040	OMDBv2.0_AA_G_NR100_000097754446	paralog 754446	555
KELL22-1_SAMN22237330_MAG_00000035	KELL22-1 7330-035	OMDBv2.0_AA_G_NR100_000071926121	OMDBv2.0_AA_G_NR100_000220077298	paralog 077298	671
KELL22-1_SAMN22237330_MAG_00000035	KELL22-1 7330-035	OMDBv2.0_AA_G_NR100_000071926122	OMDBv2.0_AA_G_NR100_000097754446	paralog 754446	603
KELL22-1_SAMN22237330_MAG_00000035	KELL22-1 7330-035	OMDBv2.0_AA_G_NR100_000071926911	OMDBv2.0_AA_G_NR100_000072444551	paralog 444551	519
KELL22-1_SAMN22237330_MAG_00000055	KELL22-1 7330-055	OMDBv2.0_AA_G_NR100_000071975620	OMDBv2.0_AA_G_NR100_000117940005	paralog 940005	478
KELL22-1_SAMN22237330_MAG_00000055	KELL22-1 7330-055	OMDBv2.0_AA_G_NR100_000071976709	OMDBv2.0_AA_G_NR100_000097754446	paralog 754446	555
KELL22-1_SAMN22237330_MAG_00000055	KELL22-1 7330-055	OMDBv2.0_AA_G_NR100_000071976710	OMDBv2.0_AA_G_NR100_000220077298	paralog 077298	600
KELL22-1_SAMN22237337_MAG_00000052	KELL22-1 7337-052	OMDBv2.0_AA_G_NR100_000072982646	OMDBv2.0_AA_G_NR100_000220077298	paralog 077298	651
KELL22-1_SAMN22237337_MAG_00000052	KELL22-1 7337-052	OMDBv2.0_AA_G_NR100_000072982647	OMDBv2.0_AA_G_NR100_000097754446	paralog 754446	555
KELL22-1_SAMN22237337_MAG_00000052	KELL22-1 7337-052	OMDBv2.0_AA_G_NR100_000072984366	OMDBv2.0_AA_G_NR100_000117940005	paralog 940005	474
KELL22-1_SAMN22237338_MAG_00000037	KELL22-1 7338-037	OMDBv2.0_AA_G_NR100_000073116974	OMDBv2.0_AA_G_NR100_000220077298	paralog 077298	671
KELL22-1_SAMN22237338_MAG_00000037	KELL22-1 7338-037	OMDBv2.0_AA_G_NR100_000073116975	OMDBv2.0_AA_G_NR100_000097754446	paralog 754446	599
KELL22-1_SAMN22237338_MAG_00000037	KELL22-1 7338-037	OMDBv2.0_AA_G_NR100_000073118047	OMDBv2.0_AA_G_NR100_000072444551	paralog 444551	519
KELL22-1_SAMN22237340_MAG_00000069	KELL22-1 7340-069	OMDBv2.0_AA_G_NR100_000073409271	OMDBv2.0_AA_G_NR100_000117940005	paralog 940005	398
KELL22-1_SAMN22237340_MAG_00000069	KELL22-1 7340-069	OMDBv2.0_AA_G_NR100_000073410097	OMDBv2.0_AA_G_NR100_000220077298	paralog 077298	599
KELL22-1_SAMN22237340_MAG_00000069	KELL22-1 7340-069	OMDBv2.0_AA_G_NR100_000073410098	OMDBv2.0_AA_G_NR100_000097754446	paralog 754446	295
KELL22-1_SAMN22237342_MAG_00000085	KELL22-1 7342-085	OMDBv2.0_AA_G_NR100_000072442770	OMDBv2.0_AA_G_NR100_000220077298	paralog 077298	671
KELL22-1_SAMN22237342_MAG_00000085	KELL22-1 7342-085	OMDBv2.0_AA_G_NR100_000073637059	OMDBv2.0_AA_G_NR100_000072444551	paralog 444551	515
KELL22-1_SAMN22237342_MAG_00000085	KELL22-1 7342-085	OMDBv2.0_AA_G_NR100_000073637765	OMDBv2.0_AA_G_NR100_000097754446	paralog 754446	603
KELL22-1_SAMN22237343_MAG_00000071	KELL22-1 7343-071	OMDBv2.0_AA_G_NR100_000073747365	OMDBv2.0_AA_G_NR100_000097754446	paralog 754446	599
KELL22-1_SAMN22237343_MAG_00000071	KELL22-1 7343-071	OMDBv2.0_AA_G_NR100_000073747366	OMDBv2.0_AA_G_NR100_000220077298	paralog 077298	596
KELL22-1_SAMN22237343_MAG_00000071	KELL22-1 7343-071	OMDBv2.0_AA_G_NR100_000073749504	OMDBv2.0_AA_G_NR100_000117940005	paralog 940005	419
KELL22-1_SAMN22237346_MAG_00000084	KELL22-1 7346-084	OMDBv2.0_AA_G_NR100_000074225999	OMDBv2.0_AA_G_NR100_000220077298	paralog 077298	666
KELL22-1_SAMN22237346_MAG_00000084	KELL22-1 7346-084	OMDBv2.0_AA_G_NR100_000074226000	OMDBv2.0_AA_G_NR100_000097754446	paralog 754446	587
KELL22-1_SAMN22237346_MAG_00000084	KELL22-1 7346-084	OMDBv2.0_AA_G_NR100_000074227334	OMDBv2.0_AA_G_NR100_000117940005	paralog 940005	291
TARA_SAMEA6041390_MAG_00000121	TPAC 1390-121	OMDBv2.0_AA_G_NR100_000220074528	OMDBv2.0_AA_G_NR100_000097754446	paralog 754446	599
TARA_SAMEA6041390_MAG_00000121	TPAC 1390-121	OMDBv2.0_AA_G_NR100_000220077298	OMDBv2.0_AA_G_NR100_000220077298	paralog 077298	678
TARA_SAMEA6041390_MAG_00000121	TPAC 1390-121	OMDBv2.0_AA_G_NR100_000220078614	OMDBv2.0_AA_G_NR100_000117940005	paralog 940005	352
