genome	genome_label	target_id	cluster	cluster_label	protein_length_aa
CARD22-1_SAMN24292833_MAG_00000013	CARD22-1 sp022360815 (013)	OMDBv2.0_AA_G_NR100_000041568427	OMDBv2.0_AA_G_NR100_000041185226	paralog 185226	262
CARD22-1_SAMN24292837_MAG_00000005	CARD22-1 sp.? (005)	OMDBv2.0_AA_G_NR100_000041568995	OMDBv2.0_AA_G_NR100_000041568995	paralog 568995	715
CARD22-1_SAMN24292837_MAG_00000005	CARD22-1 sp.? (005)	OMDBv2.0_AA_G_NR100_000041570552	OMDBv2.0_AA_G_NR100_000041570552	paralog 570552	734
CARD22-1_SAMN24292837_MAG_00000005	CARD22-1 sp.? (005)	OMDBv2.0_AA_G_NR100_000041571494	OMDBv2.0_AA_G_NR100_000041571494	paralog 571494	597
CARD22-1_SAMN24292837_MAG_00000005	CARD22-1 sp.? (005)	OMDBv2.0_AA_G_NR100_000041571731	OMDBv2.0_AA_G_NR100_000041571731	paralog 571731	562
CARD22-1_SAMN24292837_MAG_00000005	CARD22-1 sp.? (005)	OMDBv2.0_AA_G_NR100_000041571908	OMDBv2.0_AA_G_NR100_000041571908	paralog 571908	381
PELI21-1_SAMN14421543_MAG_00000002	PELI21-1 sp013619155 (002)	OMDBv2.0_AA_G_NR100_000125151704	OMDBv2.0_AA_G_NR100_000041187468	paralog 187468	377
PELI21-1_SAMN14421543_MAG_00000002	PELI21-1 sp013619155 (002)	OMDBv2.0_AA_G_NR100_000125151705	OMDBv2.0_AA_G_NR100_000125151705	paralog 151705	573
PELI21-1_SAMN14421545_MAG_00000005	PELI21-1 sp013619155 (005)	OMDBv2.0_AA_G_NR100_000125151704	OMDBv2.0_AA_G_NR100_000041187468	paralog 187468	377
PELI21-1_SAMN14421545_MAG_00000005	PELI21-1 sp013619155 (005)	OMDBv2.0_AA_G_NR100_000125168735	OMDBv2.0_AA_G_NR100_000125151705	paralog 151705	573
PELI21-1_SAMN14421546_MAG_00000001	PELI21-1 sp013619155 (001)	OMDBv2.0_AA_G_NR100_000125151704	OMDBv2.0_AA_G_NR100_000041187468	paralog 187468	377
PELI21-1_SAMN14421546_MAG_00000001	PELI21-1 sp013619155 (001)	OMDBv2.0_AA_G_NR100_000125168735	OMDBv2.0_AA_G_NR100_000125151705	paralog 151705	573
PELI21-1_SAMN14421547_MAG_00000003	PELI21-1 sp013619155 (003)	OMDBv2.0_AA_G_NR100_000125151704	OMDBv2.0_AA_G_NR100_000041187468	paralog 187468	377
PELI21-1_SAMN14421547_MAG_00000003	PELI21-1 sp013619155 (003)	OMDBv2.0_AA_G_NR100_000125168735	OMDBv2.0_AA_G_NR100_000125151705	paralog 151705	573
RSGB23-1_GCF-900699765-V1_GENO_10000001	RSGB23-1 butyratoxydans (001)	OMDBv2.0_AA_G_NR100_000153704064	OMDBv2.0_AA_G_NR100_000041185226	paralog 185226	578
RSGB23-1_GCF-900699765-V1_GENO_10000001	RSGB23-1 butyratoxydans (001)	OMDBv2.0_AA_G_NR100_000153704396	OMDBv2.0_AA_G_NR100_000041568995	paralog 568995	708
RSGB23-1_GCF-900699765-V1_GENO_10000001	RSGB23-1 butyratoxydans (001)	OMDBv2.0_AA_G_NR100_000153704789	OMDBv2.0_AA_G_NR100_000153825238	paralog 825238	577
RSGB23-1_GCF-900699765-V1_GENO_10000001	RSGB23-1 butyratoxydans (001)	OMDBv2.0_AA_G_NR100_000153705701	OMDBv2.0_AA_G_NR100_000041189118	paralog 189118	736
RSGB23-1_GCF-900699765-V1_GENO_10000001	RSGB23-1 butyratoxydans (001)	OMDBv2.0_AA_G_NR100_000153706590	OMDBv2.0_AA_G_NR100_000041187468	paralog 187468	380
RSGB23-1_GCF-900699765-V1_GENO_10000001	RSGB23-1 butyratoxydans (001)	OMDBv2.0_AA_G_NR100_000153706591	OMDBv2.0_AA_G_NR100_000125151705	paralog 151705	573
RSGB23-1_GCF-900699765-V1_GENO_10000001	RSGB23-1 butyratoxydans (001)	OMDBv2.0_AA_G_NR100_000153708153	OMDBv2.0_AA_G_NR100_000041571908	paralog 571908	372
RSGB23-1_GCF-902498735-V1_GENO_10000001	RSGB23-1 spongiiphila (001)	OMDBv2.0_AA_G_NR100_000153823219	OMDBv2.0_AA_G_NR100_000041571908	paralog 571908	372
RSGB23-1_GCF-902498735-V1_GENO_10000001	RSGB23-1 spongiiphila (001)	OMDBv2.0_AA_G_NR100_000153824233	OMDBv2.0_AA_G_NR100_000041185226	paralog 185226	578
RSGB23-1_GCF-902498735-V1_GENO_10000001	RSGB23-1 spongiiphila (001)	OMDBv2.0_AA_G_NR100_000153824649	OMDBv2.0_AA_G_NR100_000041568995	paralog 568995	709
RSGB23-1_GCF-902498735-V1_GENO_10000001	RSGB23-1 spongiiphila (001)	OMDBv2.0_AA_G_NR100_000153825238	OMDBv2.0_AA_G_NR100_000153825238	paralog 825238	578
RSGB23-1_GCF-902498735-V1_GENO_10000001	RSGB23-1 spongiiphila (001)	OMDBv2.0_AA_G_NR100_000153825679	OMDBv2.0_AA_G_NR100_000041187468	paralog 187468	380
RSGB23-1_GCF-902498735-V1_GENO_10000001	RSGB23-1 spongiiphila (001)	OMDBv2.0_AA_G_NR100_000153825680	OMDBv2.0_AA_G_NR100_000125151705	paralog 151705	573
RSGB23-1_GCF-902498735-V1_GENO_10000001	RSGB23-1 spongiiphila (001)	OMDBv2.0_AA_G_NR100_000153826517	OMDBv2.0_AA_G_NR100_000041189118	paralog 189118	736
