genome	gtdb_species	n_phaA	n_phaB	n_phaC	n_phaJ	n_phaZ	n_phaY	n_phaF	n_phaR_regulator	architecture
RSGB23-1_GCF-004920665-V1_GENO_10000001	Legionella pneumophila	2	0	4	0	2	1	0	0	ACZY
RSGB23-1_GCF-014109825-V1_GENO_10000001	Legionella sp014109825	5	9	4	3	1	0	1	1	ABCJZFRReg
RSGB23-1_GCF-900187095-V1_GENO_10000001	Legionella waltersii	4	10	4	2	3	1	1	1	ABCJZYFRReg
RSGB23-1_GCF-011764505-V1_GENO_10000001	Legionella antarctica	3	5	3	1	2	1	1	1	ABCJZYFRReg
RSGB23-1_GCF-900475745-V1_GENO_10000001	Legionella pascullei	4	6	3	2	4	1	1	1	ABCJZYFRReg
RSGB23-1_GCF-900637585-V1_GENO_10000001	Legionella pascullei	4	6	3	2	4	1	1	1	ABCJZYFRReg
RSGB23-1_GCF-900637685-V1_GENO_10000001	Legionella sainthelensi	3	7	3	2	3	1	1	1	ABCJZYFRReg
RSGB23-1_GCF-004920695-V1_GENO_10000001	Legionella pneumophila	0	1	2	0	0	0	0	0	BC
RSGB23-1_GCF-004921245-V1_GENO_10000001	Legionella pneumophila	0	0	2	0	2	0	0	0	CZ
RSGB23-1_GCF-004921995-V1_GENO_10000001	Legionella pneumophila	0	0	2	0	2	0	0	0	CZ
RSGB23-1_GCF-004922025-V1_GENO_10000001	Legionella pneumophila	0	0	2	0	1	0	0	0	CZ
RSGB23-1_GCF-004922175-V1_GENO_10000001	Legionella pneumophila	0	0	2	0	2	0	0	0	CZ
RSGB23-1_GCF-004922435-V1_GENO_10000001	Legionella pneumophila	0	0	2	0	2	0	0	0	CZ
RSGB23-1_GCF-004137595-V1_GENO_10000001	Legionella pneumophila	0	2	1	0	1	0	1	1	BCZFRReg
RSGB23-1_GCF-004168945-V1_GENO_10000001	Legionella pneumophila	2	0	1	0	1	0	0	0	ACZ
RSGB23-1_GCF-004168965-V1_GENO_10000001	Legionella pneumophila	2	0	1	0	1	0	0	0	ACZ
RSGB23-1_GCF-004169045-V1_GENO_10000001	Legionella pneumophila	0	2	1	0	1	0	0	0	BCZ
RSGB23-1_GCF-004169055-V1_GENO_10000001	Legionella pneumophila	0	2	1	0	1	0	0	0	BCZ
RSGB23-1_GCF-004169325-V1_GENO_10000001	Legionella pneumophila	0	0	1	0	0	0	0	0	C
RSGB23-1_GCF-004169335-V1_GENO_10000001	Legionella pneumophila	0	1	1	0	0	0	0	0	BC
RSGB23-1_GCF-004169485-V1_GENO_10000001	Legionella pneumophila	2	0	1	0	1	0	0	0	ACZ
RSGB23-1_GCF-004169495-V1_GENO_10000001	Legionella pneumophila	0	1	1	0	0	0	1	1	BCFRReg
RSGB23-1_GCF-004169585-V1_GENO_10000001	Legionella pneumophila	2	0	1	0	1	0	0	0	ACZ
RSGB23-1_GCF-004920395-V1_GENO_10000001	Legionella pneumophila	0	1	1	0	0	0	1	1	BCFRReg
RSGB23-1_GCF-004920895-V1_GENO_10000001	Legionella pneumophila	0	0	1	0	0	0	1	1	CFRReg
RSGB23-1_GCF-004920925-V1_GENO_10000001	Legionella pneumophila	0	0	1	0	0	0	0	0	C
RSGB23-1_GCF-004920975-V1_GENO_10000001	Legionella pneumophila	0	0	1	0	0	0	0	0	C
RSGB23-1_GCF-004921035-V1_GENO_10000001	Legionella pneumophila	0	0	1	0	0	0	0	0	C
RSGB23-1_GCF-004921125-V1_GENO_10000001	Legionella pneumophila	0	0	1	0	0	0	0	0	C
RSGB23-1_GCF-004921255-V1_GENO_10000001	Legionella pneumophila	0	0	1	0	0	0	0	0	C
RSGB23-1_GCF-004922085-V1_GENO_10000001	Legionella pneumophila	0	0	1	0	1	0	0	0	CZ
RSGB23-1_GCF-004922125-V1_GENO_10000001	Legionella pneumophila	0	0	1	0	0	0	0	0	C
RSGB23-1_GCF-004922205-V1_GENO_10000001	Legionella pneumophila	0	0	1	0	1	0	0	0	CZ
RSGB23-1_GCF-004922325-V1_GENO_10000001	Legionella pneumophila	0	0	1	0	0	0	0	0	C
