target_id	genome	evidence_tier	protein_length	ref_accession	ref_length	pident	alnlen	evalue	qcov	tcov	length_ratio_query_to_ref
OMDBv2.0_AA_G_NR100_000105694687	MORG22-1_SAMN09064952_MAG_00000040	Catalytic triad complete	374	A0ABU1JGX6	452	45.900	394	3.159E-105	0.963	0.872	0.8274
OMDBv2.0_AA_G_NR100_000004314130	ALNE20-1_SAMEA6236694_MAG_00000028	Catalytic triad complete	367	A0A852RVE8	355	62.600	340	2.605E-136	0.924	0.958	1.0338
OMDBv2.0_AA_G_NR100_000007188790	ATLA15-1_SAMN03981661-S001_MAG_00000289	Catalytic triad complete	375	A0A0B6AHH5	357	37.300	324	6.206E-72	0.864	0.896	1.0504
OMDBv2.0_AA_G_NR100_000008403847	ATLA15-1_SAMN03981649-S001_MAG_00000001	Catalytic triad complete	354	Q9F5P8	355	66.100	354	2.994E-165	0.997	0.997	0.9972
OMDBv2.0_AA_G_NR100_000248503867	ZHOU22-1_SAMN16252688_MAG_00000006	Catalytic triad complete	355	A0ABQ0CC89	354	64.000	353	1.697E-162	0.994	0.997	1.0028
OMDBv2.0_AA_G_NR100_000178483545	SUTE22-1_SAMN10231912_MAG_00000227	Catalytic triad complete	375	A0A510HIB4	358	32.900	336	8.602E-53	0.896	0.939	1.0475
OMDBv2.0_AA_G_NR100_000233990619	WIND23-1_Gp0561258-S001_MAG_00000022	HMM-supported (no triad)	350	A0A1C3UEH4	360	44.800	321	4.554E-94	0.917	0.886	0.9722
OMDBv2.0_AA_G_NR100_000115904688	PANK22-1_SAMN12290163_MAG_00000022	HMM-supported (no triad)	176	A0A1I5SR21	354	52.800	174	6.055E-60	0.989	0.492	0.4972
OMDBv2.0_AA_G_NR100_000098661441	LUOR22-1_SAMEA13322671_MAG_00000097	Catalytic triad complete	361	A0A1M7SY59	364	50.100	349	2.841E-124	0.967	0.959	0.9918
OMDBv2.0_AA_G_NR100_000152012536	RSGB23-1_GCF-014168695-V1_GENO_10000001	HMM-supported (no triad)	362	F0KN22	361	97.700	361	2.829E-238	0.997	1.000	1.0028
OMDBv2.0_AA_G_NR100_000169655755	SILV23-1_SAMEA6872368_MAG_00000022	Catalytic triad complete	348	A0ABM7QG52	358	67.500	352	4.454E-159	0.966	0.983	0.9721
OMDBv2.0_AA_G_NR100_000206640742	TARA_SAMEA6004291_MAG_00000039	HMM-supported (no triad)	118	A0A7Z1AEK9	355	69.500	115	8.662E-55	0.975	0.324	0.3324
OMDBv2.0_AA_G_NR100_000212580489	TARA_SAMEA6019949_MAG_00000011	Catalytic triad complete	355	Q9F5P8	355	63.200	354	4.017E-158	0.994	0.997	1.0000
OMDBv2.0_AA_G_NR100_000218680336	TARA_SAMEA6037727_MAG_00000009	Catalytic triad complete	355	Q9F5P8	355	63.200	354	1.415E-157	0.994	0.997	1.0000
OMDBv2.0_AA_G_NR100_000177849077	SUTE22-1_SAMN10231902_MAG_00000014	HMM-supported (no triad)	128	A0A081RQ39	354	78.400	125	2.415E-67	0.977	0.353	0.3616
OMDBv2.0_AA_G_NR100_000089841841	LUOE20-1_SAMN05991683-S002_MAG_00000025	Catalytic triad complete	340	I3D2C6	354	69.600	339	3.872E-174	0.997	0.958	0.9605
OMDBv2.0_AA_G_NR100_000037209813	CAOS20-1_SAMN13674977-S009_MAG_00000070	Catalytic triad complete	354	I3D2C6	354	69.500	351	7.888E-178	0.992	0.992	1.0000
OMDBv2.0_AA_G_NR100_000063599143	HARO18-2_SAMN05992386_MAG_00000178	Catalytic triad complete	354	I3D2C6	354	69.200	351	5.218E-177	0.992	0.992	1.0000
OMDBv2.0_AA_G_NR100_000094967582	LUOE20-1_SAMN11874782-S001_MAG_00000006	Catalytic triad complete	354	I3D2C6	354	68.100	352	2.780E-177	0.994	0.994	1.0000
OMDBv2.0_AA_G_NR100_000196479173	TARA_SAMEA2623327_MAG_00000035	Catalytic triad complete	354	I3D2C6	354	68.700	352	8.704E-179	0.994	0.994	1.0000
OMDBv2.0_AA_G_NR100_000177971425	SUTE22-1_SAMN10231905_MAG_00000107	Catalytic triad complete	355	I3D2C6	354	70.000	354	1.109E-180	0.997	1.000	1.0028
OMDBv2.0_AA_G_NR100_000178261670	SUTE22-1_SAMN10231920_MAG_00000075	Catalytic triad complete	369	A0A081RQ39	354	69.700	354	2.855E-180	0.959	1.000	1.0424
OMDBv2.0_AA_G_NR100_000165982676	SHAF22-1_SAMEA7723972_MAG_00000014	Catalytic triad complete	365	A0A3S0XMN0	365	68.800	363	2.430E-177	0.992	0.995	1.0000
OMDBv2.0_AA_G_NR100_000221214048	TARA_SAMEA6044144_MAG_00000073	Catalytic triad complete	366	A0ABX6PRC2	368	51.700	351	5.322E-125	0.959	0.954	0.9946
OMDBv2.0_AA_G_NR100_000161974608	SCHR19-1_SAMN09405982_MAG_00000008	Catalytic triad complete	366	A0ABU1JGX6	452	36.200	340	1.898E-60	0.929	0.737	0.8097
OMDBv2.0_AA_G_NR100_000159817613	SATI15-1_SAMN02628407_MAG_00000014	Catalytic triad complete	411	A0A0K8MDT7	380	27.800	304	1.424E-23	0.740	0.753	1.0816
OMDBv2.0_AA_G_NR100_000186558451	TARA_SAMEA2622331_MAG_00000019	Catalytic triad complete	412	A0A0K8MDT7	380	26.800	334	1.511E-21	0.811	0.821	1.0842
OMDBv2.0_AA_G_NR100_000215888079	TARA_SAMEA6029358_MAG_00000024	Catalytic triad complete	411	A0A1Y6BBD4	429	54.600	419	2.805E-137	0.964	0.977	0.9580
OMDBv2.0_AA_G_NR100_000117764675	PANK22-1_SAMN12290755_MAG_00000017	Catalytic triad complete	412	A0ABU2DYI9	373	26.300	298	4.855E-19	0.723	0.761	1.1046
OMDBv2.0_AA_G_NR100_000109864642	NGUY21-1_SAMN17524324_MAG_00000053	Catalytic triad complete	379	A0A1Y6BBD4	429	49.600	380	2.819E-105	0.960	0.886	0.8834
OMDBv2.0_AA_G_NR100_000098952312	LUOR22-1_SAMEA13322673_MAG_00000105	Catalytic triad complete	395	A0A1Y6BBD4	429	46.800	421	7.133E-102	0.980	0.981	0.9207
OMDBv2.0_AA_G_NR100_000175359401	SUMM22-1_SAMN21164817_MAG_00000011	Catalytic triad complete	412	A0A9P1K0F5	419	42.700	405	1.927E-93	0.983	0.957	0.9833
OMDBv2.0_AA_G_NR100_000130907006	ROBB21-1_SAMN13943222_MAG_00000009	Catalytic triad complete	410	A0ABQ5VRW2	375	65.400	371	3.472E-167	0.905	0.989	1.0933
OMDBv2.0_AA_G_NR100_000235132351	WIND23-1_Gp0561265-S001_MAG_00000076	Catalytic triad complete	387	A0ABU2DYI9	373	26.900	299	2.135E-19	0.773	0.764	1.0375
OMDBv2.0_AA_G_NR100_000240778944	ZHAN22-2_SAMN18200499_MAG_00000258	Catalytic triad complete	407	G7Z9E8	430	55.800	410	1.028E-135	0.978	0.953	0.9465
OMDBv2.0_AA_G_NR100_000181933578	TAOJ22-1_SAMN27365858_MAG_00000302	Catalytic triad complete	408	A0A1Y2MK30	452	25.500	335	4.666E-20	0.821	0.695	0.9027
OMDBv2.0_AA_G_NR100_000118192997	PANK22-1_SAMN12290620_MAG_00000034	Catalytic triad complete	402	A0A1Y6BBD4	429	51.400	422	5.476E-126	0.988	0.984	0.9371
OMDBv2.0_AA_G_NR100_000159276473	SANT17-1_SAMN02905733_MAG_00000083	Catalytic triad complete	408	A0A0K8MDT7	380	27.600	319	2.585E-21	0.782	0.800	1.0737
OMDBv2.0_AA_G_NR100_000160329006	SATO17-1_SAMN04961670_MAG_00000033	Catalytic triad complete	408	D8IXL9	832	36.800	364	2.251E-52	0.865	0.438	0.4904
OMDBv2.0_AA_G_NR100_000149360686	RSGB23-1_GCF-006704265-V1_GENO_10000001	Catalytic triad complete	405	F0J2B2	391	65.900	349	5.007E-145	0.862	0.864	1.0358
OMDBv2.0_AA_G_NR100_000197433523	TARA_SAMEA2623837_MAG_00000039	Catalytic triad complete	401	A0A7W4Z7U6	421	65.800	383	3.513E-171	0.955	0.900	0.9525
OMDBv2.0_AA_G_NR100_000035926106	BRYA16-1_SAMN04849236-S002_MAG_00000017	Catalytic triad complete	485	A0A1G9ASB1	612	55.500	427	2.333E-151	0.872	0.698	0.7925
OMDBv2.0_AA_G_NR100_000088216653	LIUR22-1_SAMN17320295_MAG_00000029	Catalytic triad complete	422	A0A1H6I4J9	426	51.200	399	3.889E-124	0.943	0.937	0.9906
OMDBv2.0_AA_G_NR100_000097541361	LUOE20-1_SAMN25283081-S001_MAG_00000013	Catalytic triad complete	430	A0A8G2EXV6	436	50.100	415	1.511E-121	0.933	0.952	0.9862
OMDBv2.0_AA_G_NR100_000106614061	MUDA16-1_SAMN06140902_MAG_00000088	Catalytic triad complete	486	A0A975GH16	406	63.500	362	3.409E-166	0.745	0.892	1.1970
OMDBv2.0_AA_G_NR100_000137798984	TARA_SAMEA2623054_MAG_00000090	Catalytic triad complete	422	I3TGV6	421	100.000	421	2.621E-283	0.998	1.000	1.0024
OMDBv2.0_AA_G_NR100_000164290238	SCHU20-1_SAMEA5756316-S008_MAG_00000078	Catalytic triad complete	411	A0A1H6I4J9	426	44.400	398	1.115E-94	0.946	0.934	0.9648
OMDBv2.0_AA_G_NR100_000058417825	FUCH22-1_SAMN18055974_MAG_00000087	Catalytic triad complete	596	A8LR46	604	65.400	584	2.093E-268	0.977	0.967	0.9868
OMDBv2.0_AA_G_NR100_000041405506	CARD22-1_SAMN24292824_MAG_00000026	Catalytic triad complete	607	A0A1I7NCB3	602	61.000	585	1.018E-241	0.964	0.970	1.0083
OMDBv2.0_AA_G_NR100_000245065903	ZHEN15-1_SAMN22350789_MAG_00000001	Catalytic triad complete	600	A0A238J1L1	599	90.800	599	0.000E+00	0.998	1.000	1.0017
OMDBv2.0_AA_G_NR100_000192081683	TARA_SAMEA2622415_MAG_00000012	Catalytic triad complete	512	A0A1H3E735	606	99.200	505	0.000E+00	0.986	0.833	0.8449
OMDBv2.0_AA_G_NR100_000199261633	TARA_SAMEA4396489_MAG_00000159	Catalytic triad complete	601	A0A0D1D2N1	616	74.300	570	6.786E-293	0.945	0.925	0.9756
OMDBv2.0_AA_G_NR100_000245027220	ZHEN15-1_SAMN22350788_MAG_00000007	Catalytic triad complete	607	A0A1H8SH32	553	71.900	552	1.432E-275	0.909	0.998	1.0976
OMDBv2.0_AA_G_NR100_000048360132	COLL22-1_SAMN16929972_MAG_00000049	Catalytic triad complete	376	A0A967C673	601	68.600	373	2.852E-180	0.992	0.621	0.6256
OMDBv2.0_AA_G_NR100_000165288677	SEON22-1_SAMN23460444_MAG_00000134	Catalytic triad complete	600	A0A967C673	601	62.600	591	1.686E-258	0.982	0.983	0.9983
OMDBv2.0_AA_G_NR100_000074836448	KIMD21-1_SAMN19707228_MAG_00000111	Catalytic triad complete	598	A0A1H0JBJ9	597	77.600	591	0.000E+00	0.988	0.990	1.0017
OMDBv2.0_AA_G_NR100_000100622034	LUOR22-1_SAMEA13322682_MAG_00000042	Catalytic triad complete	600	A0ABU5EAP6	599	63.000	587	2.874E-254	0.977	0.980	1.0017
OMDBv2.0_AA_G_NR100_000232301532	WEBE19-1_SAMN08181971_MAG_00000062	HMM-supported (no triad)	180	A0A1W2ECN3	597	73.400	173	4.280E-91	0.961	0.290	0.3015
OMDBv2.0_AA_G_NR100_000069669125	KAGO19-1_SAMD00073868_MAG_00000011	Catalytic triad complete	598	A0A238UVH0	600	67.500	591	7.539E-286	0.988	0.985	0.9967
OMDBv2.0_AA_G_NR100_000211486111	TARA_SAMEA6015582_MAG_00000035	Catalytic triad complete	598	A0A1M5PDU5	597	65.800	591	4.601E-278	0.988	0.990	1.0017
OMDBv2.0_AA_G_NR100_000215697183	TARA_SAMEA6029057_MAG_00000017	Catalytic triad complete	601	A0A8G2BML8	600	70.000	596	8.404E-292	0.992	0.992	1.0017
OMDBv2.0_AA_G_NR100_000161423682	SCHR19-1_SAMN09405933_MAG_00000011	Catalytic triad complete	457	A0A918DMY0	579	61.000	454	6.784E-200	0.993	0.784	0.7893
OMDBv2.0_AA_G_NR100_000160790054	SCHR19-1_SAMN09406027_MAG_00000011	Catalytic triad complete	574	A0A918DMY0	579	56.000	567	4.268E-229	0.986	0.979	0.9914
OMDBv2.0_AA_G_NR100_000226468213	TULL18-1_SAMN07571245_MAG_00000073	Catalytic triad complete	574	A0ABQ1K8M3	583	56.900	569	3.439E-233	0.988	0.976	0.9846
OMDBv2.0_AA_G_NR100_000214032575	TARA_SAMEA6024289_MAG_00000110	Catalytic triad complete	344	A0A1M6RBJ8	602	85.500	311	1.335E-187	0.904	0.517	0.5714
OMDBv2.0_AA_G_NR100_000202147806	TARA_SAMEA4397772_MAG_00000025	Catalytic triad complete	521	A0A1M6RBJ8	602	90.300	520	0.000E+00	0.998	0.864	0.8654
OMDBv2.0_AA_G_NR100_000244343194	ZHAO22-1_SAMN29179945_MAG_00000024	Catalytic triad complete	598	A0A1M6RBJ8	602	88.900	597	0.000E+00	0.998	0.992	0.9934
OMDBv2.0_AA_G_NR100_000206700008	TARA_SAMEA6004479_MAG_00000153	Catalytic triad complete	633	A0A1M6RBJ8	602	81.300	600	0.000E+00	0.948	0.997	1.0515
OMDBv2.0_AA_G_NR100_000195087495	TARA_SAMEA2622846_MAG_00000002	Catalytic triad complete	430	A0A1C3J9H4	608	91.100	428	6.941E-273	0.995	0.704	0.7072
OMDBv2.0_AA_G_NR100_000140246707	RSGB23-1_GCF-000816475-V1_GENO_10000001	Catalytic triad complete	591	A0A3S0QEW3	593	87.600	590	0.000E+00	0.998	0.995	0.9966
OMDBv2.0_AA_G_NR100_000091359081	LUOE20-1_SAMN05991718-S002_MAG_00000030	Catalytic triad complete	592	A0ABW7JFI9	591	97.800	591	0.000E+00	0.998	1.000	1.0017
OMDBv2.0_AA_G_NR100_000138671907	RSGB23-1_GCF-002930005-V1_GENO_10000001	Catalytic triad complete	592	A0ABW7JFI9	591	100.000	591	0.000E+00	0.998	1.000	1.0017
OMDBv2.0_AA_G_NR100_000146363585	RSGB23-1_GCF-006802365-V1_GENO_10000001	Catalytic triad complete	592	A0ABX1I5H8	591	80.800	591	0.000E+00	0.998	1.000	1.0017
OMDBv2.0_AA_G_NR100_000149227879	RSGB23-1_GCF-006377535-V1_GENO_10000001	Catalytic triad complete	592	A0ABX1I5H8	591	95.200	591	0.000E+00	0.998	1.000	1.0017
OMDBv2.0_AA_G_NR100_000237174519	ZHAN22-1_SAMN11355745_MAG_00000217	Catalytic triad complete	592	A0A178J9G2	592	84.900	591	0.000E+00	0.998	0.998	1.0000
OMDBv2.0_AA_G_NR100_000079313961	KOPF15-1_SAMEA7392465_MAG_00000001	Catalytic triad complete	596	A0A1R4B636	598	88.400	595	0.000E+00	0.998	0.995	0.9967
OMDBv2.0_AA_G_NR100_000143864190	RSGB23-1_GCF-002877015-V1_GENO_10000001	Catalytic triad complete	607	A0ABT5R4L0	606	87.100	606	0.000E+00	0.998	1.000	1.0017
OMDBv2.0_AA_G_NR100_000143742301	SOLA22-1_SAMEA7060540_MAG_00000209	Catalytic triad complete	609	A0ACG1YEH5	608	94.700	608	0.000E+00	0.998	1.000	1.0016
OMDBv2.0_AA_G_NR100_000153506268	RSGB23-1_GCF-900183395-V1_GENO_10000001	Catalytic triad complete	609	A0A1C3J9H4	608	98.000	608	0.000E+00	0.998	1.000	1.0016
OMDBv2.0_AA_G_NR100_000037309519	CAOS20-1_SAMN13674977-S010_MAG_00000081	Catalytic triad complete	568	A0A238L1A1	642	76.700	567	2.005E-305	0.998	0.883	0.8847
OMDBv2.0_AA_G_NR100_000243730737	ZHAO22-1_SAMN09979593_MAG_00000043	Catalytic triad complete	553	A0A967C673	601	73.200	550	9.190E-286	0.995	0.915	0.9201
OMDBv2.0_AA_G_NR100_000073496562	KELL22-1_SAMN22237341_MAG_00000075	HMM-supported (no triad)	257	A0A1Y5SQJ2	597	58.400	253	1.114E-103	0.984	0.424	0.4305
OMDBv2.0_AA_G_NR100_000107780840	NGUY21-1_SAMN17524316_MAG_00000091	Catalytic triad complete	608	A0A1Y5SQJ2	597	57.700	542	5.677E-215	0.891	0.905	1.0184
OMDBv2.0_AA_G_NR100_000119870137	PANK22-1_SAMN12290878_MAG_00000043	Catalytic triad complete	633	A0A1Y5SQJ2	597	54.600	553	2.581E-201	0.874	0.898	1.0603
OMDBv2.0_AA_G_NR100_000200409122	TARA_SAMEA4397174_MAG_00000108	Catalytic triad complete	388	A0A1H8SH32	553	82.100	393	5.519E-226	0.997	0.711	0.7016
OMDBv2.0_AA_G_NR100_000200536370	TARA_SAMEA4397215_MAG_00000150	Catalytic triad complete	603	A0A1H8SH32	553	77.700	553	5.680E-306	0.917	1.000	1.0904
OMDBv2.0_AA_G_NR100_000234787511	WIND23-1_Gp0561263-S001_MAG_00000046	Catalytic triad complete	348	A0A7W9EWS5	535	77.300	345	8.535E-188	0.991	0.645	0.6505
OMDBv2.0_AA_G_NR100_000047828263	COLL22-1_SAMN16929954_MAG_00000092	Catalytic triad complete	596	A0A1R3WUG2	610	75.200	597	1.285E-310	0.998	0.979	0.9770
OMDBv2.0_AA_G_NR100_000003424253	KRUG19-1_SAMN03169777_MAG_00000124	Catalytic triad complete	598	A0A1R3WUG2	610	77.800	597	0.000E+00	0.998	0.979	0.9803
OMDBv2.0_AA_G_NR100_000192700922	TARA_SAMEA2622624_MAG_00000068	Catalytic triad complete	595	A0A1M5ESL0	593	70.600	569	2.944E-278	0.956	0.958	1.0034
OMDBv2.0_AA_G_NR100_000184932266	TARA_SAMEA2619815_MAG_00000038	Catalytic triad complete	634	A0A918XMJ4	619	64.000	567	2.105E-243	0.871	0.916	1.0242
OMDBv2.0_AA_G_NR100_000232124590	WANG22-1_SAMN08714628-S002_MAG_00000265	Catalytic triad complete	244	A0A399RGD8	680	69.600	227	2.055E-112	0.930	0.334	0.3588
OMDBv2.0_AA_G_NR100_000230770335	WANG22-1_SAMN08714535-S001_MAG_00000092	Catalytic triad complete	644	A0A399RGD8	680	56.200	605	1.540E-236	0.939	0.890	0.9471
OMDBv2.0_AA_G_NR100_000144138962	RSGB23-1_GCF-002892185-V1_GENO_10000001	Catalytic triad complete	610	A0A1M4Y0W7	590	75.500	592	1.913E-314	0.970	0.995	1.0339
OMDBv2.0_AA_G_NR100_000070267064	KAGO19-1_SAMD00073937_MAG_00000009	Catalytic triad complete	610	A0A0H5CXF5	609	100.000	609	0.000E+00	0.998	1.000	1.0016
OMDBv2.0_AA_G_NR100_000039066799	CAOS20-1_SAMN13674978-S012_MAG_00000122	Catalytic triad complete	373	A0A285TVL1	609	81.800	370	2.595E-206	0.992	0.608	0.6125
OMDBv2.0_AA_G_NR100_000159821617	SATI15-1_SAMN02628407_MAG_00000025	Catalytic triad complete	639	A0A7Y0E2Y1	582	43.800	543	2.721E-147	0.850	0.931	1.0979
OMDBv2.0_AA_G_NR100_000010479517	ATLA15-1_SAMN03981672-S001_MAG_00000086	Catalytic triad complete	424	A0A1G9ASB1	612	69.100	422	2.097E-206	0.995	0.690	0.6928
OMDBv2.0_AA_G_NR100_000219655904	TARA_SAMEA6040386_MAG_00000046	Catalytic triad complete	344	A0A1Y6BPE7	610	75.000	325	3.660E-162	0.942	0.533	0.5639
OMDBv2.0_AA_G_NR100_000217397769	TARA_SAMEA6034021_MAG_00000009	Catalytic triad complete	602	A0A967C673	601	74.200	599	4.845E-308	0.992	0.997	1.0017
OMDBv2.0_AA_G_NR100_000207999027	TARA_SAMEA6034818_MAG_00000029	Catalytic triad complete	612	A0A1Y6BPE7	610	74.000	607	1.147E-308	0.992	0.995	1.0033
OMDBv2.0_AA_G_NR100_000136513921	RSGB23-1_GCF-000016185-V1_GENO_10000001	Catalytic triad complete	598	B6IMP7	597	100.000	597	0.000E+00	0.998	1.000	1.0017
OMDBv2.0_AA_G_NR100_000041668761	CARD22-1_SAMN24292840_MAG_00000035	Catalytic triad complete	196	A0ACH2XDR8	610	78.700	193	3.607E-108	0.985	0.316	0.3213
OMDBv2.0_AA_G_NR100_000151293127	RSGB23-1_GCF-011683915-V1_GENO_10000001	Catalytic triad complete	602	A0A967C673	601	100.000	601	0.000E+00	0.998	1.000	1.0017
OMDBv2.0_AA_G_NR100_000159022609	SANC23-1_SAMEA110646533_MAG_00000059	Catalytic triad complete	629	A0ABT9H9U1	636	78.200	626	0.000E+00	0.995	0.975	0.9890
OMDBv2.0_AA_G_NR100_000158890479	SANC23-1_SAMEA110646531_MAG_00000035	Catalytic triad complete	641	A0ABT9H9U1	636	76.600	639	0.000E+00	0.997	0.991	1.0079
OMDBv2.0_AA_G_NR100_000019817161	COLL22-1_SAMN16930036_MAG_00000004	Catalytic triad complete	622	A0ABS7JSM9	621	84.300	621	0.000E+00	0.998	1.000	1.0016
OMDBv2.0_AA_G_NR100_000085249444	KRUG19-2_SAMN08777874_MAG_00000144	Catalytic triad complete	622	A0ABS7JSM9	621	85.300	621	0.000E+00	0.998	1.000	1.0016
OMDBv2.0_AA_G_NR100_000158213073	SANC23-1_SAMEA110646519_MAG_00000042	Catalytic triad complete	622	A0ABS7JSM9	621	85.300	621	0.000E+00	0.998	1.000	1.0016
OMDBv2.0_AA_G_NR100_000191923835	TARA_SAMEA2622347_MAG_00000001	Catalytic triad complete	622	A0ABS7JSM9	621	85.600	621	0.000E+00	0.998	1.000	1.0016
